#漢字	音標	解釋
多	tɔ55	多 多少
嬉	hi55	嬉 嬉戏
煕	hi55	熙 康熙
喜	hi24	喜 喜欢
醫	∅i55	医 医生
意	∅i22	意 大意
已	∅i33	已 已经
以	∅i33	以 可以
異	∅i22	异 异同
幾	ki24	几 几乎
機	ki55	机 机器
譏	ki55	讥 讥笑
饑	ki55	饥 饥荒
幾	ki24	几 几个
既	ki33	既 既然
豈	hi24	岂 岂有此理
氣	hi33	气 空气
汽	hi33	汽 汽车
祈	kʰi11	祈 祈祷
毅	ŋɐi22	毅 毅力
希	hi55	希 希望
稀	hi55	稀 稀有
衣	∅i55	衣 衣服
依	∅i55	依 依靠
累	loi33	累 累积
累	loi33	累 连累
嘴	tsoi24	嘴 嘴巴
髓	soi24	髓 骨髓
隨	tsʰoi11	隨 随便
吹	tsʰoi55	吹 吹牛
炊	tsʰoi55	炊 炊烟
垂	soi11	垂 下垂
睡	soi22	睡 午睡
瑞	soi22	瑞 瑞雪
蕊	∅ioi24	蕊 花蕊
規	kwʰɐi55	规 规矩
詭	kwɐi24	诡 诡计
虧	kwʰɐi55	亏 吃亏
窺	kwʰɐi55	窥 偷窥
跪	kwɐi22	跪 下跪
危	ŋɐi11	危 危险
僞	ŋɐi11	伪 虚伪
毀	wɐi24	毁 毁灭
萎	wɐi24	萎 枯萎
委	wɐi24	委 委托
爲	wɐi22	为 为什么
爲	wɐi22	为 行为
壘	loi33	垒 堡垒
類	loi22	类 分类
淚	loi22	泪 眼泪
醉	tsoi33	醉 喝醉
翠	tsoi33	翠 翡翠
雖	soi55	虽 虽然
粹	soi33	粹 纯粹
遂	soi22	遂 未遂
隧	soi22	隧 隧道
穗	soi22	穗 谷穗
追	tsoi55	追 追赶
槌	tsʰoi11	槌 棒槌
錘	tsʰoi11	锤 铁锤
墜	tsoi22	坠 下坠
衰	soi55	衰 衰老
摔	s∅t055	摔 摔跤
帥	soi33	帅 元帅
錐	tsoi55	锥 圆锥
水	soi24	水 水果
誰	soi11	谁 谁人
龜	kwɐi55	龟 乌龟
軌	kwɐi24	轨 铁轨
癸	kwʰɐi11	癸 天干第十
愧	kwʰɐi33	愧 惭愧
季	kwɐi33	季 四季
逵	kwʰɐi24	逵 李逵
葵	kwʰɐi11	葵 向日葵
櫃	kwɐi22	柜 柜台
位	wɐi22	位 地位
維	wɐi11	维 维持
惟	wɐi11	惟 惟一
遺	wɐi11	遗 遗失
唯	wɐi11	唯 唯有
非	fei55	非 非常
飛	fei55	飞 飞机
匪	fei24	匪 土匪
痱	fei24	痱 痱子，热痱
沸	fei33	沸 沸腾
妃	fei55	妃 贵妃
費	fei33	费 浪费
肥	fei11	肥 肥料
翡	fei24	翡 翡翠
微	mei11	微 细微
尾	mei33	尾 尾巴
未	mei22	未 未来
味	mei22	味 味道
歸	kwɐi55	归 回归
鬼	kwɐi24	鬼 鬼神
貴	kwɐi33	贵 贵客
魏	ŋɐi22	魏 魏国；姓
揮	wɐi55	挥 指挥
輝	wɐi55	辉 光辉
徽	wɐi55	徽 国徽
諱	wɐi33	讳 忌讳
威	wɐi55	威 威风
畏	wɐi33	畏 畏罪
慰	wɐi33	慰 安慰
違	wɐi11	违 违背
圍	wɐi11	围 包围
偉	wɐi33	伟 伟大
葦	wɐi33	苇 芦苇
緯	wɐi33	纬 经纬
胃	wɐi22	胃 肠胃
謂	wɐi22	谓 所谓
蝟	wɐi33	猬 刺猬
匯	wui22	汇 汇报
褒	pau55	褒 褒奖
保	pau24	保 保护
堡	pau24	堡 碉堡
寶	pau24	宝 宝贝
報	pau33	报 报告；日报
袍	pʰau11	袍 长袍
抱	pʰau24	抱 拥抱
暴	pau22	暴 暴露
菢	pou33	菢 菢小鸡
毛	mau11	毛 毛笔
冒	mau22	冒 冒充
帽	mau24	帽 草帽
刀	tau55	刀 菜刀
禱	tʰau24	祷 祈祷
島	tʰau24	岛 海岛
搗	tou24	捣 捣乱
倒	tou24	倒 打倒
到	tau33	到 来到
倒	tau24	倒 倒水
滔	tʰau55	滔 滔滔不绝
討	tʰau24	讨 讨好
套	tʰau33	套 配套
桃	tʰau11	桃 桃花
逃	tʰau11	逃 逃难
淘	tʰau11	淘 淘米
陶	tʰau11	陶 陶瓷
萄	tʰau11	萄 葡萄
濤	tʰau11	涛 波涛
道	tau22	道 道理
稻	tau22	稻 水稻
盜	tau22	盗 强盗
導	tau22	导 领导
腦	nau33	脑 大脑
惱	nau33	恼 恼火
勞	lau22	劳 劳动
撈	lau11	捞 打捞
撈	lau55	捞 捞钱，捞面
牢	lau11	牢 坐牢
老	lau33	老 老实
澇	lau22	涝 洪涝
遭	tsau55	遭 遭殃
糟	tsau55	糟 糟糕
早	tsau24	早 早上
棗	tsau24	枣 红枣
蚤	tsau24	蚤 跳蚤
澡	tsʰau33	澡 洗澡
躁	tsʰau33	躁 暴躁
竈	tsau33	灶 灶神
操	tsʰau55	操 操作
草	tsʰau24	草 青草
糙	tsʰau33	糙 粗糙，糙米
曹	tsʰau11	曹 阴曹
槽	tsʰau11	槽 猪槽
皂	tsau22	皂 肥皂；皂角
造	tsau22	造 制造
騷	sau55	骚 风骚
臊	tsʰau33	臊 羊臊气
掃	sau33	扫 扫把（名）
嫂	sau24	嫂 大嫂
掃	sau33	扫 扫地（动）
髙	kau55	高 跳高
膏	kau55	膏 牙膏；膏药
篙	kau55	篙 竹篙
羔	kau55	羔 羊羔
糕	kau55	糕 蛋糕
稿	kau24	稿 草稿
吿	kau33	告 报告
考	kʰau24	考 考试
烤	hau55	烤 烧烤
靠	kʰau33	靠 可靠
銬	kʰau33	铐 手铐
熬	ŋau11	熬 难熬
傲	ŋau22	傲 骄傲
好	hau24	好 好坏
好	hau24	好 爱好
耗	hau33	耗 消耗
毫	hau11	毫 毫厘
壕	hau11	壕 战壕
豪	hau11	豪 豪华
號	hau22	号 号叫，呼号（动）
浩	hau22	浩 浩荡
號	hau22	号 号码（名）
襖	∅au33	襖 棉襖
懊	∅au33	懊 懊恼
奧	∅au33	奥 奥妙
懊	∅au33	懊 懊悔
澳	∅au33	澳 澳门
包	pau55	包 钱包
胞	pau55	胞 同胞
飽	pau24	饱 吃饱
豹	pʰau33	豹 一种动物
爆	pau33	爆 爆炸
泡	pʰau33	泡 泡茶
拋	pʰau55	抛 抛弃
炮	pʰau33	炮 枪炮
泡	pʰau33	泡 水泡，泡沫
跑	pʰau24	跑 跑步
刨	pʰau11	刨 刨地，刨木
鮑	pau55	鲍 鲍鱼
鉋	pʰau11	刨 刨子，瓜刨
茅	mau11	茅 茅草
貓	miu55	猫 花猫
錨	miu11	锚 抛锚
卯	mau33	卯 子丑寅卯
貌	mau22	貌 礼貌
鬧	nau22	闹 热闹
罩	tsau33	罩 灯罩
抓	tsa55	抓 抓牌
爪	tsau24	爪 脚爪
找	tsau24	找 找东西
抄	tsʰau55	抄 抄书
鈔	tsʰau55	钞 钞票
炒	tsʰau24	炒 炒股
吵	tsʰau24	吵 吵架
巢	tsʰau11	巢 雀巢
梢	sau55	梢 树梢
稍	sau24	稍 稍等
哨	sau33	哨 口哨
交	kau55	交 交通
郊	kau55	郊 郊区
膠	kau55	胶 胶水
敎	kau33	教 教书
茭	kau55	茭 茭笋，茭白
絞	kau24	绞 绞毛巾
狡	kau24	狡 狡猾
鉸	kau33	铰 铰剪
攪	kau24	搅 搅拌
搞	kau24	搞 搞好
敎	kau33	教 教育
校	kau33	校 上校
較	kau33	较 比较
酵	hau55	酵 发酵
窖	kau33	窖 地窖
覺	kau33	觉 睡觉
敲	hau55	敲 敲门
巧	hau24	巧 碰巧
咬	ŋau33	咬 咬人
哮	hau55	哮 哮喘
孝	hau33	孝 孝顺
肴	ŋau11	肴 佳肴
淆	ŋau11	淆 混淆
效	hau22	效 效果
校	kau33	校 校对
校	hau22	校 学校
坳	∅au33	坳 山坳
標	piu55	标 标志
表	piu24	表 表示
錶	piu55	表 手表
飄	pʰiu55	飘 飘扬
漂	pʰiu55	漂 漂白
票	pʰiu33	票 车票
漂	pʰiu33	漂 漂亮
嫖	pʰiu11	嫖 嫖妓
鰾	piu55	鳔 鱼鳔（鱼泡）
苗	miu11	苗 火苗
描	miu11	描 描写
貓	miu55	猫 猫咪
藐	miu33	藐 藐视
渺	miu33	渺 渺小
秒	miu33	秒 一分一秒
廟	miu24	庙 庙会
妙	miu33	妙 妙计
燎	liu11	燎 火烧火燎
燎	liu11	燎 燎原
療	liu11	疗 治疗
焦	tsiu55	焦 焦作
蕉	tsiu55	蕉 香蕉
椒	tsiu55	椒 辣椒
剿	tsiu24	剿 围剿
鍬	tsʰɐu55	锹 铁锹
悄	tsʰiu33	悄 静悄悄
俏	tsʰiu33	俏 娇俏
樵	tsʰiu11	樵 打樵，樵夫
瞧	tsʰiu11	瞧 瞧一瞧
消	siu55	消 消化
宵	siu55	宵 良宵
霄	siu55	霄 云霄
硝	siu55	硝 硝酸
銷	siu55	销 供销社
小	siu24	小 大小
笑	siu33	笑 笑话
肖	tsʰiu53	肖 生肖
朝	tsiu55	朝 今朝
超	tsʰiu55	超 超过
朝	tsʰiu11	朝 朝代
潮	tsʰiu11	潮 潮水
趙	tsiu22	赵 赵国；姓
兆	siu22	兆 人名用字；预兆
召	tsiu22	召 号召
昭	tsʰiu55	昭 王昭君
招	tsiu55	招 招手
沼	tsiu24	沼 沼气
照	tsiu33	照 照明
燒	siu55	烧 发烧
少	siu24	少 多少
少	siu33	少 少年，少爷
韶	siu11	韶 韶关
紹	siu22	绍 介绍
邵	siu22	邵 姓
饒	∅iu11	饶 求饶
擾	∅iu24	扰 打扰
繞	∅iu24	绕 绕线团
繞	∅iu24	绕 围绕
驕	kiu55	骄 骄傲
嬌	kiu55	娇 撒娇
矯	kiu24	矫 矫正
喬	kʰiu11	乔 姓
僑	kʰiu11	侨 华侨
橋	kʰiu11	桥 桥梁
蕎	kʰiu11	荞 荞麦
轎	kʰiu24	轿 抬轿
囂	hiu55	嚣 嚣张
妖	∅iu24	妖 妖怪
邀	∅iu55	邀 邀请
腰	∅iu55	腰 腰疼
要	∅iu55	要 要求
要	∅iu33	要 重要
搖	∅iu11	摇 摇篮
謠	∅iu11	谣 民谣
窑	∅iu11	窑 官窑
姚	∅iu11	姚 姓
耀	∅iu33	耀 照耀
鷂	∅iu24	鹞 纸鹞
刁	tiu55	刁 嘴刁
貂	tiu55	貂 貂皮
雕	tiu55	雕 雕塑；座山雕
鳥	niu33	鸟 小鸟
釣	tiu33	钓 钓鱼
吊	tiu33	吊 上吊
挑	tʰiu55	挑 挑选
跳	tʰiu33	跳 跳高，跳起来
條	tʰiu11	条 条件
調	tʰiu11	调 调和
掉	tiu22	掉 走掉
調	tiu22	调 调动
調	tiu22	调 音调，高调
尿	niu22	尿 撒尿
聊	liu11	聊 聊天
遼	liu11	辽 辽宁
撩	liu11	撩 撩起来
寮	liu11	寮 竹寮，茶寮
了	liu33	了 了结
瞭	liu11	瞭 瞭望
料	liu24	料 肥料
蕭	siu55	萧 姓
簫	siu55	箫 吹箫
繳	kiu24	缴 上缴
僥	hiu55	侥 侥幸
叫	kiu33	叫 大叫
竅	hiu33	窍 窍门
堯	∅iu11	尧 尧舜禹
曉	hiu24	晓 晓得
杳	miu33	杳 杳无音讯
剖	fou24	剖 解剖
某	mou33	某 某人
畝	mou33	亩 一亩田
牡	mou33	牡 牡丹
母	mou33	母 母亲
拇	mou33	拇 拇指
戊	mau33	戊 戊戌变法
茂	mou33	茂 茂盛
貿	mou33	贸 外贸
兜	tɐu55	兜 兜风
斗	tɐu24	斗 十升为斗
抖	tɐu24	抖 发抖
陡	tɐu24	陡 陡峭
鬥	tɐu33	斗 斗争
偸	tʰɐu55	偷 偷东西
㪗	tʰɐu24	敨 敨开，敨气
透	tʰɐu33	透 透明
頭	tʰɐu11	头 头发
投	tʰɐu11	投 投降
豆	tɐu22	豆 豆芽
逗	tɐu22	逗 逗号
痘	tɐu22	痘 水痘
樓	lɐu11	楼 上楼
簍	lɔ55	篓 竹篓
摟	lɐu24	搂 搂抱
漏	lɐu33	漏 漏雨
陋	lɐu22	陋 简陋
走	tsɐu24	走 行走
奏	tsɐu33	奏 节奏
湊	tsɐu33	凑 凑数
叟	sɐu24	叟 童叟无欺
嗽	sou33	嗽 咳嗽
勾	ŋɐu55	勾 勾当
鉤	ŋɐu55	钩 鱼钩
溝	kʰɐu55	沟 沟通
狗	kɐu24	狗 小狗
苟	kɐu24	苟 苟且偷生
够	kɐu33	够 足够
構	kɐu33	构 结构
購	kʰɐu33	购 购买
勾	ŋɐu55	勾 勾引
口	hɐu24	口 门口
叩	kʰɐu33	叩 叩头
扣	kʰɐu33	扣 扣钱
寇	kʰɐu33	寇 倭寇
藕	ŋɐu33	藕 莲藕
偶	ŋɐu33	偶 偶然
偶	ŋɐu33	偶 配偶
侯	hɐu22	侯 诸侯
喉	hɐu11	喉 喉咙
猴	hɐu11	猴 猴子
後	hɐu33	后 后来
厚	hɐu33	厚 忠厚
后	hɐu33	后 皇后
候	hɐu33	候 等候
歐	∅ɐu55	欧 欧洲
甌	∅ɐu55	瓯 瓯江
嘔	∅ɐu24	呕 呕吐
毆	∅ɐu55	殴 殴打
漚	∅ɐu33	沤 久浸水中（沤肥）
慪	∅ɐu33	怄 怄气
否	fou24	否 否定
富	fu33	富 富贵
副	fu33	副 正副（副省长）
浮	fou11	浮 浮动；轻浮
婦	fu33	妇 妇女
負	fu22	负 负担
復	fok022	复 复兴
謀	mou11	谋 阴谋
矛	mau11	矛 矛盾
紐	nɐu24	纽 纽扣
扭	nɐu24	扭 扭动
流	lɐu11	流 流动
劉	lɐu11	刘 姓
留	lɐu11	留 留下
榴	lɐu11	榴 石榴
硫	lɐu11	硫 硫磺
琉	lɐu11	琉 琉璃
柳	lɐu33	柳 柳树
餾	lɐu33	馏 蒸馏水
廖	liu22	廖 姓
揪	tsʰɐu55	揪 揪头发
酒	tsɐu24	酒 酒精
秋	tsʰɐu55	秋 秋千
秋	tsʰɐu55	秋 秋天
鰍	nɐu55	鳅 泥鳅
就	tsɐu33	就 成就
修	sɐu55	修 修理
羞	sɐu55	羞 害羞
秀	sɐu33	秀 清秀
繡	sɐu33	绣 绣花
宿	sok055	宿 宿舍
銹	sɐu33	锈 生锈
囚	tsʰɐu11	囚 囚犯
袖	tsɐu22	袖 领袖
晝	tsɐu33	昼 日昼
抽	tsʰɐu55	抽 抽出
丑	tsʰɐu24	丑 子丑寅卯
綢	tsʰɐu11	绸 丝绸
稠	tsʰɐu11	稠 稠密
籌	tsʰɐu11	筹 筹备
宙	tsɐu22	宙 宇宙
鄒	tsɐu55	邹 姓
皺	tsɐu33	皱 皱纹
愁	sɐu11	愁 发愁
驟	tsau22	骤 步骤；暴风骤雨
搜	sɐu24	搜 搜查，搜身
餿	sok055	馊 饭馊了
蒐	sɐu24	搜 搜集
瘦	sɐu33	瘦 瘦小
周	tsɐu55	周 姓；周围
舟	tsɐu55	舟 舟山
州	tsɐu55	州 杭州
洲	tsɐu55	洲 亚洲
咒	tsɐu33	咒 咒人
醜	tsʰɐu24	丑 丑陋
臭	tsʰɐu33	臭 香臭
收	sɐu55	收 秋收，收集
手	sɐu24	手 手段
首	sɐu24	首 首都
守	sɐu24	守 保守
獸	sɐu33	兽 野兽
仇	sɐu11	仇 报仇
酬	tsʰɐu11	酬 报酬
受	sɐu22	受 接受
壽	sɐu22	寿 寿星
授	sɐu22	授 教授
售	tsʰɐu11	售 出售
柔	∅iɐu11	柔 温柔
揉	∅iɐu11	揉 揉眼睛，揉面团
鳩	kɐu55	鸠 斑鸠
糾	tɐu24	纠 纠缠
九	kɐu24	九 第九
久	kɐu24	久 长久
韭	kɐu24	韭 韭菜
灸	kɐu33	灸 针灸
救	kɐu33	救 救命
究	kɐu33	究 研究
丘	∅iɐu55	丘 姓；山丘
求	kʰɐu11	求 要求
球	kʰɐu11	球 地球
仇	tsʰɐu11	仇 姓
臼	kʰɐu33	臼 脱臼
舅	kʰɐu33	舅 舅舅，舅父
舊	kɐu22	旧 新旧
柩	nɐu24	柩 灵柩
牛	ŋɐu11	牛 吹牛
休	∅iɐu55	休 休息
朽	nɐu24	朽 腐朽
嗅	tsʰɐu33	嗅 嗅觉
憂	∅iɐu55	忧 担忧
優	∅iɐu55	优 优秀
尤	∅iɐu11	尤 尤其
郵	∅iɐu11	邮 邮票
有	∅iɐu33	有 有无
友	∅iɐu33	友 朋友
又	∅iɐu22	又 又一次
右	∅iɐu22	右 左右
佑	∅iɐu22	佑 保佑
由	∅iɐu11	由 理由
油	∅iɐu11	油 花生油
游	∅iɐu11	游 旅游
猶	∅iɐu11	犹 犹豫
悠	∅iɐu55	悠 悠闲
酉	∅iɐu33	酉 地支第十
誘	∅iɐu33	诱 引诱
柚	∅iɐu24	柚 柚子
釉	∅iɐu24	釉 釉彩
彪	piu55	彪 林彪
謬	mou22	谬 谬论
丟	tiu55	丢 丢失
糾	tɐu24	纠 纠正
幽	∅iɐu55	幽 幽默
幼	∅iɐu33	幼 幼稚
耽	tam55	耽 耽误
答	tap033	答 回答
搭	tap033	搭 搭车，衣服搭在肩上
貪	tʰam55	贪 贪心
探	tʰam33	探 探路
踏	tap033	踏 脚踏
潭	tʰam11	潭 湘潭
譚	tʰam11	谭 姓
沓	tap033	沓 一沓纸
南	nam11	南 南方
男	nam11	男 男人
納	nap022	纳 出纳
拉	lai55	拉 拖拉
簪	tsam55	簪 发簪
參	tsʰam55	参 参加
慘	tsʰam24	惨 悲惨
蠶	tsʰam11	蚕 蚕丝
雜	tsap022	杂 复杂
感	kam24	感 感谢
合	hɐp022	合 合作
蛤	kap033	蛤 蛤蜊，花蛤
鴿	kap055	鸽 鸽子
堪	ham55	堪 难堪
坎	hɐm55	坎 坎坷；坎头
砍	hɐm24	砍 砍柴
勘	ham33	勘 勘探
喝	hot033	喝 喝彩
含	hɐm11	含 包含
函	ham11	函 信函
撼	ham33	撼 震撼
憾	ham22	憾 遗憾
合	hɐp022	合 十合一升
盒	hɐp022	盒 盒子
庵	∅ɐm55	庵 尼姑庵
揞	∅ɐm24	揞 揞住
暗	∅ɐm33	暗 黑暗
擔	tam55	担 担任（动）
膽	tam24	胆 胆小
擔	tam33	担 挑担（名）
毯	tʰan24	毯 毛毯
塔	tʰap033	塔 一座塔
遢	tʰat033	遢 邋遢
塌	tʰap033	塌 倒塌
談	tʰam11	谈 谈话
痰	tʰam11	痰 吐痰
淡	tam22	淡 咸淡；浓淡
藍	lam22	蓝 蓝色
籃	lam22	篮 篮子
覽	lam33	览 阅览
攬	lam33	揽 包揽
欖	lam24	榄 橄榄
濫	lam33	滥 泛滥
纜	lam11	缆 缆绳，缆车
臘	lap022	腊 腊肉
蠟	lap022	蜡 蜡烛
慚	tsʰam11	惭 惭愧
暫	tsam22	暂 暂时
三	sam55	三 第三
甘	kam55	甘 甘蔗
柑	kam55	柑 芦柑
敢	kam24	敢 勇敢
橄	kam55	橄 橄榄
喊	ham33	喊 叫喊
站	tsam22	站 站立
劄	tsat033	扎 针扎
賺	tsan22	赚 赚钱
站	tsam22	站 车站
斬	tsam24	斩 刀斩
眨	tsam24	眨 眨眼
插	tsʰap033	插 插秧
讒	tsʰim11	谗 谗言
閘	tsap022	闸 闸门
煠	tsap022	炸 把食物放入沸水或沸油里弄熟
杉	tsʰam33	杉 杉树
尷	kam33	尴 尴尬
減	kam24	减 加减
鹼	kan24	碱 发酵用
夾	kap033	夹 夹子；夹东西
裌	kap033	夹 夹衣，夹袄
恰	hɐp055	恰 恰当
咸	ham11	咸 咸丰
鹹	ham11	咸 咸淡
陷	ham22	陷 陷井
餡	ham24	馅 饺子馅
狹	hap022	狭 狭窄
峽	hap022	峡 三峡
洽	hɐp055	洽 洽谈
衫	sam55	衫 衬衫
監	kam55	监 监视，监牢
鑒	kam33	鉴 鉴定
監	kam33	监 国子监；太监
甲	kap033	甲 天干第一
胛	kap033	胛 肩胛
巖	ŋam11	岩 岩石，石灰岩
銜	ham11	衔 军衔
艦	lam22	舰 军舰
匣	hap022	匣 匣子
鴨	∅ap033	鸭 鸭子
押	∅at033	押 押送
壓	∅at033	压 压力
貶	pin24	贬 贬值
黏	nim55	黏 黏米，黏合剂
聶	nip022	聂 姓
鑷	nip022	镊 镊子
廉	lim11	廉 廉洁
鐮	lim11	镰 镰刀
簾	lim11	帘 窗帘
斂	lim33	敛 收敛
殮	lim33	殓 殡殓
獵	lip022	猎 打猎
尖	tsim55	尖 尖刀
殲	tsʰim55	歼 歼灭
接	tsip033	接 接待
籤	tsʰim55	签 牙签
簽	tsʰim55	签 签名
妾	tsʰip033	妾 妻妾
潛	tsʰim11	潜 潜水
漸	tsim22	渐 逐渐
捷	tsit022	捷 捷报
沾	tsim55	沾 沾湿
粘	nim55	粘 粘贴
占	tsim55	占 占卜
佔	tsim33	占 占有，占地方
摺	tsip033	折 折被子，折纸
陝	sim24	陕 陕西
閃	sim24	闪 闪电
攝	sip033	摄 摄影
蟾	sim11	蟾 蟾蜍，蟾酥
涉	sip033	涉 干涉
染	∅im33	染 污染
檢	kʰim24	检 检查
臉	lim33	脸 脸色
鉗	kʰim11	钳 钳子
儉	kim22	俭 节俭
驗	∅im22	验 试验
險	him24	险 危险
淹	∅im24	淹 淹没
閹	∅im55	阉 阉割
掩	∅im24	掩 掩护
厭	∅im33	厌 讨厌
炎	∅im11	炎 炎热
鹽	∅im11	盐 食盐(名）
閻	∅im11	阎 阎王
檐	sim11	檐 屋檐
艷	∅im22	艳 鲜艳
焰	∅im22	焰 火焰
鹽	∅ip033	盐 腌制（动）
葉	∅ip022	叶 树叶
輯	tsʰɐp055	辑 编辑
心	sɐm55	心 心思
尋	tsʰɐm11	寻 寻找
習	tsap022	习 学习
襲	tsap022	袭 袭击
砧	tsɐm55	砧 砧板
沉	tsʰɐm11	沉 沉浮
蟄	tsek022	蛰 惊蛰
簪	tsam55	簪 发簪
岑	sɐm22	岑 姓
森	sɐm55	森 森林
參	sɐm55	参 人参
滲	sɐm33	渗 渗水
澀	kip033	涩 羞涩
針	tsɐm55	针 针对
斟	tsɐm55	斟 斟酒
枕	tsɐm24	枕 枕头（名）
枕	tsɐm24	枕 枕枕头（动）
執	tsɐp055	执 执行
汁	tsɐp055	汁 果汁
深	tsɐm55	深 深入
沈	tsɐm24	沈 沈阳
嬸	tsɐm24	婶 叔之妻
審	tsɐm24	审 审问
濕	tsɐp055	湿 湿润
甚	sɐm11	甚 甚至
十	sap022	十 第十
拾	sap022	拾 拾金不昧
壬	∅iɐm11	壬 天干第九
任	∅iɐm22	任 姓
任	∅iɐm22	任 责任
紝	∅iɐn33	纴 缝纴
入	∅iap022	入 进入
今	kɐm55	今 今天
金	kɐm55	金 金银
禁	kɐm33	禁 禁不住
襟	kʰɐm55	襟 连襟
錦	kɐm24	锦 锦绣
禁	kɐm33	禁 禁止
急	kap055	急 急忙
級	kʰap055	级 年级
給	kʰap055	给 供给，给予
欽	∅iɐm55	钦 钦差
撳	kɐm33	揿 手用力捏住，往下按
泣	∅iap055	泣 哭泣
琴	kʰɐm11	琴 弹琴
禽	kʰɐm11	禽 家禽
擒	kʰɐm11	擒 擒拿
及	kap022	及 及时
吟	∅iɐm11	吟 吟诗
吸	kʰɐp055	吸 呼吸
音	∅iɐm55	音 音乐
陰	∅iɐm55	阴 阴天
飮	∅iɐm24	饮 米汤（名）
飮	∅iɐm24	饮 饮酒（动）
蔭	∅iɐm55	荫 屋子很荫
揖	∅iap055	揖 作揖
淫	∅iɐm11	淫 淫荡
單	tan55	单 单独
丹	tan55	丹 人丹
疸	tʰan24	疸 黄疸
旦	tan33	旦 元旦
灘	tʰan55	滩 沙滩
攤	tʰan55	摊 摊开
癱	tʰan55	瘫 瘫痪
坦	tʰan24	坦 坦白
嘆	tʰan33	叹 叹气
炭	tʰan33	炭 木炭
彈	tʰan11	弹 弹琴
檀	tʰan11	檀 檀香
壇	tʰan11	坛 天坛
誕	tan33	诞 诞生
彈	tan22	弹 子弹
但	tan22	但 但是
蛋	tan24	蛋 鸡蛋
達	tat022	达 达到
難	nan11	难 很难
難	nan22	难 患难
捺	lat033	捺 撇捺
蘭	lan11	兰 兰花
攔	lan11	拦 拦住
欄	lan11	栏 栏杆
欄	lan11	栏 猪栏
懶	lan33	懒 懒惰
爛	lan22	烂 腐烂
辣	lat022	辣 泼辣；辣椒
贊	tsan33	赞 赞助
灒	tsin55	灒 溅水，灒水（打铁器）
餐	tsʰan55	餐 快餐
燦	tsʰan33	灿 灿烂
擦	tsʰat033	擦 擦洗
殘	tsʰan11	残 残疾
珊	san55	珊 珊瑚
散	san33	散 分散
傘	san33	伞 雨伞
散	san24	散 松散
撒	sat033	撒 撒手，撒种
薩	sat033	萨 菩萨
干	kon55	干 天干地支
乾	kon55	干 干湿
竿	kon55	竿 竹竿
肝	kon55	肝 猪肝
桿	kon55	杆 枪杆
稈	kon24	秆 禾秆
趕	kon24	赶 赶走
幹	kon33	干 干部
割	kot033	割 收割
葛	kot033	葛 诸葛亮
看	hon55	看 看守，看牛
刊	hon24	刊 报刊
看	hon33	看 看见
渴	hot033	渴 口渴
岸	ŋon22	岸 口岸
鼾	hon22	鼾 鼾声
罕	hon24	罕 罕见
漢	hon33	汉 汉族
喝	hot033	喝 喝酒
寒	hon11	寒 寒冷
韓	hon11	韩 韩国
旱	hon33	旱 干旱
焊	hon24	焊 电焊
汗	hon22	汗 出汗
翰	hon22	翰 翰林；人名用字
安	∅on55	安 安全
鞍	∅on55	鞍 马鞍
按	∅on33	按 按照
案	∅on33	案 档案
扮	pan22	扮 打扮
八	pat022	八 第八
盼	pʰan33	盼 盼望
辦	pan22	办 办法
瓣	fan24	瓣 花瓣
拔	pat022	拔 选拔
抹	mat033	抹 抹布
盞	tsan24	盏 灯盏
札	tsat033	札 札记
紮	tsat033	扎 驻扎
鏟	tsʰan24	铲 铲草
察	tsʰat033	察 观察
山	san55	山 山顶
產	tsʰan24	产 生产
殺	sat033	杀 自杀
煞	sat033	煞 凶神恶煞；煞费苦心
艱	kan55	艰 艰苦
間	kan55	间 中间
簡	kan24	简 简单
柬	kan24	柬 请柬
揀	kan24	拣 拣菜
間	kan33	间 间断
眼	ŋan33	眼 眼镜
閑	han11	闲 空闲
限	han22	限 限制
莧	han22	苋 苋菜
軋	tsat033	轧 被车轧；轧钢厂
班	pan55	班 班级
斑	pan55	斑 雀斑
頒	pan55	颁 颁布
扳	pan24	扳 扳手，枪的扳机
板	pan24	板 石板
版	pan24	版 出版
攀	pʰan55	攀 高攀
蠻	man11	蛮 野蛮
慢	man22	慢 快慢
棧	tsan24	栈 客栈
鍘	tsap033	铡 铡刀
刪	san55	删 删除
疝	san33	疝 疝气
奸	kan55	奸 奸臣
澗	kan24	涧 山涧
顏	ŋan11	颜 颜色
雁	ŋan22	雁 大雁
瞎	hat022	瞎 瞎子
轄	hat022	辖 管辖
晏	∅an33	晏 天晚
鞭	pin55	鞭 皮鞭
編	pʰin55	编 编辑
變	pin33	变 改变
別	pit022	别 分别
鱉	pit033	鳖 甲鱼
篇	pʰin55	篇 一篇
偏	pʰin55	偏 偏僻
騙	pʰin33	骗 欺骗
便	pʰin11	便 便宜
辨	pin22	辨 分辨
辯	pin22	辩 辩论
汴	pin22	汴 汴梁
便	pin22	便 方便
別	pit033	别 区别
綿	min11	绵 海绵
棉	min11	棉 棉花
免	min33	免 免除
勉	min33	勉 勉强
娩	min33	娩 分娩
緬	min33	缅 缅甸
面	min22	面 面子
滅	mit033	灭 消灭
碾	tsin24	碾 碾米
連	lin11	连 大连；连长
聯	lyn11	联 联系；对联
列	lit022	列 排列
裂	lit033	裂 分裂
烈	lit022	烈 烈士
煎	tsin55	煎 煎药
剪	tsin24	剪 铰剪
箭	tsin33	箭 射箭
