#漢字	音標	解釋
多	tou44	多：多少，多数
涕	tʰi51	涕：鼻涕
剃	tʰei51	剃：剃头
屜	tʰi31	屉：抽屉
題	tʰi22	题：题目，难题
提	tʰi22	提：提问，提醒
蹄	tʰei22	蹄：猪蹄
啼	tʰi22	啼：啼笑皆非，鸡啼
弟	tʰi51	弟：兄弟，弟弟
第	tʰi51	第：门第，第一
遞	tʰi31	递：传递
泥	lei22	泥：烂泥，水泥
犂	lei22	犁：耕田用具
黎	lei22	黎：黎明
禮	li44	礼：送礼，礼貌
麗	li51	丽：人名用字
隷	li51	隶：奴隶，隶属
莉	li51	莉：茉莉
擠	tsi44	挤：拥挤，挤上去，挤牙膏
濟	tsi51	济：接济，经济，济公
妻	tsʰi44	妻：老婆
淒	tsi44	淒：
凄	tsi44	凄：凄凉
悽	tsi44	悽：悽惨
砌	tsʰi51	砌：砌墙，砌茶
齊	tsʰi22	齐：整齐，齐了
臍	tsʰi22	脐：肚脐，脐带
薺	kiai51	荠：荠菜，茡荠
劑	tsi51	剂：药剂
西	si44	西：东西南北
棲	tsi44	栖：
犀	si44	犀：犀牛，羚羊犀角
洗	sei31	洗：洗衣服，洗衣粉
細	sei51	细：粗细，大细，比…少。
婿	sei51	婿：女婿
鷄	kei44	鸡：公鸡、小鸡
稽	ki44	稽：会稽，稽查
計	ki51	计：会计，计算
繼	ki44	继：继承，继续
繫	kei44	系：系鞋带，把鸡的两只脚捆起来便于携带
髻	ki51	髻：发髻
溪	hei44	溪：大溪
啓	kʰi31	启：启发
契	kʰei51	契：契约，地契
詣	tʃʅ31	诣：造诣
奚	kʰei44	奚：奚落
系	kʰi31	系：中文系，系统
繫	kʰi31	系：连系
係	kʰi31	係：关系
縊	ʒit031	缢：缢死，自缢
瞖	ʒʅ44	瞖：生瞖
杯	pei44	杯：茶杯
輩	pei51	辈：辈分，长辈
背	pɔi51	背：后背
胚	pʰi44	胚：胚子
坯	pʰi44	坯：粗坯，毛坯
配	pʰei51	配：分配、搭配
陪	pʰei22	陪：陪你去
賠	pʰɔi22	赔：赔钱
裴	pei44	裴：姓、裴元庆
徘	pʰai22	徘：徘徊
倍	pʰei51	倍：几倍
佩	pʰei51	佩：佩服
背	pʰɔi51	背：背书、背诵
焙	pʰɔi51	焙：焙干
梅	mei22	梅：梅花、腊梅
枚	mei22	枚：一枚别针
媒	mei22	媒：做媒、媒人
煤	mei22	煤：烧煤、煤矿
玫	mei22	玫：玫瑰花
莓	mei22	莓：一种果子，红色、小而圆。草苺，蛇莓
每	mei44	每：每个人、每天
妹	mɔi51	妹：妹妹、姊妹
昧	mei51	昧：拾金不昧、昧着良心
堆	tei44	堆：堆起来，一堆东西
對	tei51	对：对错
碓	tʃuŋ44	碓：舂米工具
推	tʰei44	推：
腿	tʰei31	腿：
退	tʰei51	退：
頹	tʰut031	颓：颓废．男阴
隊	tei51	队：队伍，排队
餒	nei31	馁：气馁
內	nei51	内：内外、内行、内部
雷	lei22	雷：姓，打雷，雷公
儡	lei31	儡：傀儡、傀儡戏
累	lei51	累：极困
擂	lei22	擂：擂台，擂鼓
催	tsʰei44	催：催他快去、催眠
崔	tsʰei44	崔：姓
摧	tsʰei44	摧：摧残
罪	tsʰei51	罪：罪过，犯罪
碎	sei51	碎：东西碎了
瑰	kui51	瑰：玫瑰
盔	kʰui44	盔：头盔
魁	kʰui22	魁：魁悟、五经魁首
恢	fɔi44	恢：恢复
詼	fɔi44	诙：诙谐
傀	kui31	傀：傀儡
塊	kʰuai51	块：一块布
桅	ŋei22	桅：桅杆
灰	fɔi44	灰：草木灰、灰色
賄	fei51	贿：贿赂、受贿
悔	fei31	悔：后悔、懊悔
晦	fei51	晦：晦气
回	fei22	回：回去、回东西（转卖）
迴	fei22	迴：迂迴
茴	fei22	茴：茴香
徊	fei22	徊：徘徊
匯	fei51	汇：汇报
潰	kʰui31	溃：溃脓，崩溃，胃溃疡
煨	wei51	煨：煨番薯（把食物直接放在火中）
蛻	tʰei31	蜕：蝉蜕、蛇蜕、蜕变
兌	tʰei31	兑：兑钱，兑水，兑换，以物易物（兑糖）
最	tsʰei51	最：最好
會	kʰuai31	会：会计，财会
劊	kʰuai31	刽：刽子手
檜	kʰuai31	桧：秦桧
外	ŋɔi51	外：外面，外婆
會	fei51	会：开会
會	vɔi51	会：会不会
繪	kʰuai31	绘：测绘，绘画
乖	kuai44	乖：小孩听话，精乖（精明，贬义）
怪	kuai51	怪：这是怪他，奇怪
蒯	kʰuai31	蒯：姓，蒯通、蒯大富
塊	kʰuai51	块：一块布
懷	fai22	怀：胸怀，怀敞开、抱在怀里，抱（孩子）
槐	fai22	槐：槐树
淮	fai22	淮：淮河、淮北
壞	fai51	坏：不好
柺	kuai22	柺：拐杖，瘸腿
掛	kua51	挂：挂篮子
卦	kua51	卦：卜卦，八卦
褂	kua51	褂：大褂，褂子
歪	vai44	歪：不正，歪嘴、歪戴帽子
畫	fa51	画：画图、图画
蛙	va44	蛙：青蛙，蛙跳
快	kʰuai51	快：快点，快车
筷	kʰuai51	筷：吃饭用
話	fa51	话：说话、笑话
脆	tsʰɔi51	脆：干脆，食物松脆（如苹果、饼干）
歲	sei51	岁：几岁，万岁
綴	tsei51	缀：点缀
贅	tʃei51	赘：累赘，入赘
稅	ʃɔi51	税：税收，偷税
鱖	kiet031	鳜：鳜鱼
衛	vei51	卫：保卫、卫生
銳	ʒei51	锐：尖锐
廢	fei51	废：废品、作废
肺	pʰei51	肺：猪肺
杮	siɔk031	杮：削下的木片、木皮
吠	pʰɔi51	吠：狗叫
穢	sei51	秽：污秽
圭	kui44	圭：人名用字
閨	kui44	闺：闺房、闺女
桂	kui51	桂：桂圆，肉桂，桂花灯，桂花糖
奎	kʰui22	奎：人名用字
攜	sit031	携：携带
畦	va44	畦：菜畦
惠	fei51	惠：实惠，优惠
慧	fei51	慧：小孩乖、能干，人名用字
碑	pi44	碑：石碑，碑文
卑	pi44	卑：卑职，卑鄙
彼	pi31	彼：彼此
俾	pʰi44	俾：俾使，俾益
臂	pi31	臂：手臂，臂力
披	pʰi44	披：披衣服
譬	pi31	譬：譬喻
皮	pʰi22	皮：苹果皮
疲	pʰi44	疲：疲劳
脾	pʰi22	脾：脾气，脾胃
被	pʰi44	被：棉被，被絮
婢	pʰi44	婢：婢女
被	pʰi44	被：被迫
避	pʰik031	避：避开，躲避
糜	mi22	糜：粥，糜烂
彌	ȵi22	弥：阿弥勒佛，弥补，弥漫
靡	mi22	靡：风靡，靡靡之音
離	li22	离：离别
籬	li22	篱：篱笆
璃	li22	璃：玻璃
荔	li51	荔：荔枝
離	li22	离：分离
紫	tsɿ31	紫：紫色
雌	tʃʰʅ44	雌：雌雄
此	tsʰɿ31	此：此地，到此
刺	tsʰɿ31	刺：刺刀，鱼刺，植物的刺
疵	tsʰɿ51	疵：瑕疵，吹毛求疵
斯	sɿ44	斯：斯大林
廝	sɿ44	厮：厮打，互相
撕	sɿ44	撕：撕破
璽	sei31	玺：玉玺
徙	tʰu22	徙：迁徙，移动
賜	sik031	赐：赏赐，恩赐
知	tʃʅ44	知：知道，知识
蜘	tʃʅ44	蜘：蜘蛛（土话）
智	tʃʅ51	智：智慧
池	tsʰɿ22	池：池塘，水池
馳	tʃʰʅ44	驰：奔驰，驰骋
差	tsʰa44	差：参差
篩	tsʰei44	筛：谷筛，米筛，筛谷
支	tʃʅ44	支：地支，支持
枝	tʃʅ44	枝：荔枝，树枝
肢	tʃʅ44	肢：四肢、肢体
梔	ki44	栀：栀子花
紙	tʃʅ31	纸：白纸、纸头
只	tʃik031	只：只有
侈	tʃʰʅ22	侈：奢侈
舐	ʃei44	舐：舔
施	ʃʅ44	施：施肥，姓
翅	tʃʰʅ51	翅：鱼翅，翅膀
施	ʃʅ44	施：布施
匙	ʃʅ22	匙：钥匙，羹匙
是	hei51	是：是不是，的确，代词强调式
氏	ʃʅ31	氏：姓氏，氏族
豉	ʃʅ51	豉：豆豉
兒	ə22	儿：儿童节，小儿子
爾	ȵi44	尔：尔虞我诈
寄	ki51	寄：邮寄，寄信
羈	ki44	羁：不羁，羁押
企	kʰi44	企：企业，企求
奇	kʰi22	奇：好奇，奇怪
騎	kʰi22	骑：骑马
岐	kʰi44	岐：岐山
徛	kʰi22	徛：站立
技	kʰi44	技：技术，杂技
妓	kʰi44	妓：嫖妓，妓女
奇	kʰi22	奇：奇数
宜	ni22	宜：宜昌，便宜
儀	ȵi22	仪：礼仪，仪式
蟻	ŋei51	蚁：蚂蚁，白蚁
誼	li22	谊：友谊
義	ȵi51	义：情义，义气
議	ȵi51	议：议论，会议
犧	ʃʅ44	牺：牺牲
戲	kʰi51	戏：唱戏，戏班
椅	ʒʅ31	椅：交椅，椅子
倚	ʒʅ31	倚：倚靠，不偏不倚
移	ʒʅ22	移：迁移，移动
易	ʒʅ51	易：容易，易如反掌
悲	pei44	悲：可悲，悲伤
鄙	pi31	鄙：卑鄙，鄙人
比	pi31	比：对比，比较
秕	pʰaŋ51	秕：秕谷（不饱满的稻谷）
秘	mi51	秘：秘书，秘密
泌	mi51	泌：分泌
庇	pi51	庇：包庇
痹	pi51	痹：麻痹
丕	pʰi44	丕：曹丕
屁	pʰi51	屁：放屁，狗屁
琵	pʰi22	琵：琵琶
枇	pʰi22	枇：枇杷
備	pʰi51	备：准备，备用，刘备
鼻	pʰi51	鼻：鼻子，鼻涕
篦	pi44	篦：篦子（可抓虱子的很密的梳子）
痞	feu31	痞：地痞流氓
眉	mi22	眉：画眉，眉毛
楣	mi22	楣：门楣，倒楣
黴	mei22	霉：发霉
美	mei44	美：英美，美化
媚	mi22	媚：抛媚眼，武媚娘，妩媚
寐	mei51	寐：梦寐以求
地	tʰi51	地：土地，地上
尼	ni22	尼：尼姑，《僧尼会》（婺剧）
呢	ni22	呢：呢大衣
膩	nei51	腻：油腻，吃腻
梨	li22	梨：雪梨，梨园
履	li44	履：履行
利	li51	利：有利，利钱
痢	li51	痢：癞痢，痢疾
資	tsɿ44	资：资本
姿	tsɿ44	姿：姿势
咨	tsɿ44	咨：咨询
姊	tsi31	姊：姊妹，姐姐
次	tsʰɿ51	次：名次，两次，次品
瓷	tsʰɿ22	瓷：陶瓷，瓷砖
餈	tsʰɿ22	糍：麻糍，糍粑
自	tsʰɿ51	自：自顾自，自己，自私
私	sɿ44	私：自私，私心
死	si31	死：死了，死亡
四	si51	四：数字
肆	sɿ51	肆：放肆，肆无忌惮
致	tʃʅ51	致：导致，致敬
遲	tʃʰʅ22	迟：迟到，推迟
緻	tʃʰʅ51	致：细致
稚	tʃʰʅ44	稚：幼稚，稚嫩
師	sɿ44	师：老师，师父
獅	sɿ44	狮：狮子
螄	sɿ44	蛳：螺蛳
脂	tʃʅ44	脂：猪脂油，胭脂，脂肪
指	tʃʅ31	指：手指，指挥
旨	tʃʅ31	旨：奉旨，旨意
至	tʃʅ51	至：至少
示	ʃʅ51	示：启示，示意图
尸	ʃʅ44	尸：尸陈
屍	ʃʅ44	尸：死尸，分尸
屎	ʃʅ31	屎：粪便
矢	si51	矢：无的放矢
視	ʃʅ51	视：近视，视察
嗜	si51	嗜：嗜好
二	ȵi51	二：数字
貳	ȵi51	贰：
飢	ki44	饥：饥饿，饿
肌	ki44	肌：肌肉
几	ki44	几：茶几
冀	tsi51	冀：河北简称
器	kʰi51	器：武器，大器
棄	ʒʅ31	弃：放弃
祁	kʰi22	祁：祁门
伊	ʒʅ22	伊：姓，伊犁
懿	ʒʅ31	懿：司马懿
姨	ʒʅ22	姨：阿姨
夷	ʒʅ22	夷：化险为夷，夷蛮
肄	si51	肄：肄业
你	m̩22	你：第二人称
釐	li22	厘：厘米，分厘
貍	li22	狸：貍猫换太子，狐狸
李	li31	李：姓，一种水果
里	li44	里：一里路，里弄，地名
理	li44	理：道理，理由
裏	li31	里：里面，里外
鯉	li44	鲤：鲤鱼跳龙门
吏	li51	吏：官吏，吏治
兹	tsɿ44	兹：公文用语
滋	tsɿ44	滋：滋味，滋润
子	tsɿ31	子：孔子，子孙，儿子，老子
梓	tsɿ31	梓：桑梓
慈	tsʰɿ22	慈：慈悲，慈禧
磁	tsʰɿ22	磁：磁铁，磁场
字	tsʰɿ51	字：文字，字画
思	sɿ44	思：思想，思念
絲	sɿ44	丝：蛛丝，丝绸
司	sɿ44	司：司令，公司
伺	sɿ51	伺：伺侯，伺机
思	sɿ44	思：意思
辭	tsʰɿ22	辞：告辞，辞职
祠	tsʰɿ22	祠：祠堂，宗祠
詞	tsʰɿ22	词：歌词，词牌
似	sɿ51	似：相似，似乎
巳	ki31	巳：地支第六
祀	ki51	祀：祭祀
寺	tsʰɿ51	寺：金山寺，寺庙
飼	sɿ51	饲：饲养，饲料
嗣	tsʰɿ22	嗣：谭嗣同，后嗣
置	tʃʅ51	置：布置，安置，置办
癡	tʃʰʅ44	痴：痴呆，发痴
恥	tʃʰʅ31	耻：国耻，耻辱
持	tʃʰʅ22	持：坚持，持久
峙	ʃʅ51	峙：对峙
痔	tsʰɿ51	痔：痔疮
治	tʃʰʅ51	治：统治，治安
輜	tsɿ44	辎：辎重
淄	tsɿ44	淄：淄博
滓	tsai31	滓：渣滓洞
廁	tsek031	厕：男厕，厕所
士	sɿ51	士：士兵
仕	sɿ51	仕：仕途
柿	tsʰɿ51	柿：柿子
事	sɿ51	事：大事，事情
史	sɿ31	史：历史
使	sɿ31	使：假使，大使，用
駛	sɿ31	驶：驾驶员，车驶来
之	tsɿ44	之：之乎者也
芝	tsɿ44	芝：灵芝，芝麻
止	tʃʅ31	止：停止，止血
址	tʃʅ31	址：地址，旧址
趾	tʃʅ31	趾：脚趾（甲）
志	tʃʅ51	志：志气，志愿
痣	tʃʅ51	痣：与胎记不同
誌	tʃʅ51	志：地方志
嗤	tʃʰʅ31	嗤：嗤笑
齒	tʃʰʅ31	齿：牙齿
詩	ʃʅ44	诗：唐诗，诗人
始	tʃʰʅ31	始：开始，始终
試	ʃʅ51	试：考试，试一试
時	ʃʅ22	时：时间，当时
鰣	ʃʅ22	鲥：鲥鱼
市	ʃʅ51	市：集市，市场
恃	tʃʰʅ22	恃：自恃，恃才傲物
侍	sɿ51	侍：服侍，侍卫
而	ə22	而：然而，而且
耳	ȵi31	耳：耳朵，中耳炎
餌	ȵi31	饵：钓饵
基	ki44	基：基本，地基
萁	ki44	萁：莨萁（可作柴烧）
箕	ki44	箕：粪箕，篦箕（梳头用）
姬	ki44	姬：虞姬
己	ki31	己：自己，舍己为人
紀	ki51	纪：纪律，年纪
記	ki51	记：记号，笔记
欺	kʰi44	欺：欺负
起	kʰi31	起：起床，升起
杞	ki31	杞：枸杞，杞人忧天
棋	kʰi22	棋：下棋，棋子
旗	kʰi22	旗：红旗
其	kʰi22	其：尤其，其他
期	kʰi22	期：到期，日期
忌	ki51	忌：忌讳，禁忌，忌日
疑	ȵi22	疑：怀疑，疑心
擬	ȵi31	拟：草拟，拟人
嬉	ʃi44	嬉：玩
煕	ʃʅ44	熙：康熙
嘻	ʃi44	嘻：嘻皮笑脸
禧	kʰi31	禧：慈禧
喜	kʰi31	喜：大喜，喜欢
蟢	kʰi31	蟢：生活在壁上的小蜘蛛
醫	ʒʅ44	医：医生，医病
意	ʒʅ51	意：意思，大意
飴	ʒʅ22	饴：饴糖
怡	ʒʅ31	怡：心旷神怡
貽	ʒʅ31	贻：贻笑大方
以	ʒʅ44	以：可以，以毒攻毒
已	ki31	已：已经
異	ʒʅ31	异：各异，异同
機	kʰi44	机：机器，趁机
譏	ki44	讥：讥笑
饑	ki44	饥：饥荒
幾	ki44	几：几乎
幾	ki31	几：几个
蟣	ki44	虮：虱的卵
既	ki31	既：既然
豈	kʰi31	岂：岂有此理
氣	kʰi51	气：空气，气人
汽	kʰi51	汽：水汽，汽车
祈	kʰi31	祈：祈祷
沂	kʰi22	沂：沂蒙山
毅	ȵi51	毅：毅力
希	ʃʅ44	希：希望
稀	ʃʅ44	稀：稀有，稀饭
衣	ʒʅ44	衣：大衣，衣裳
依	ʒʅ44	依：依靠，依旧
累	lei44	累：积累，累计
累	lei51	累：连累，拖累
嘴	tsei31	嘴：嘴巴
髓	sei22	髓：骨髓，脑髓
隨	sei22	随：随便，跟随
揣	tsʰai44	揣：揣摩，揣在怀里
吹	tʃʰɔi44	吹：吹牛，吹喇叭，吹口哨
炊	tʃʰɔi44	炊：炊事员，炊饭
垂	sei22	垂：下垂，垂头丧气
睡	ʃɔi51	睡：午睡，睡眠
瑞	ʒei51	瑞：瑞安，瑞金，瑞雪
蕊	lei31	蕊：花心或花苞
規	kui44	规：圆规，规矩
詭	kui31	诡：诡计
虧	kʰui44	亏：幸亏，多亏，亏得，吃亏
窺	kui44	窥：偷窥，窥视
跪	kʰui31	跪：下跪，跪下
危	ŋui22	危：安危，危险
僞	ŋui31	伪：伪造，虚伪
麾	fei44	麾：麾下
毀	kʰui31	毁：毁灭，毁牙（小孩换牙）
萎	wei44	萎：枯萎，萎靡
委	wei44	委：委托，常委
餵	wei51	喂：喂饭，喂养
爲	wei22	为：行为，为人
爲	wei51	为：为人民服务
壘	lei31	垒：堡垒
類	lei51	类：分类，种类
淚	lei51	泪：眼泪，泪水
醉	tsei51	醉：喝醉酒
翠	tsʰei31	翠：翡翠，翠绿
悴	tsʰei31	悴：憔悴
雖	sei44	虽：虽然
綏	sei44	绥：绥靖，绥远
粹	tsʰei51	粹：纯粹
遂	sei31	遂：未遂，遂昌
隧	sei31	隧：隧道
穗	fei51	穗：谷穗
追	tʃei44	追：
錘	tʃʰei22	锤：铁锤，抡大锤
槌	tʃʰei22	槌：槌棒（洗衣服用）
墜	sei31	坠：虫子吐丝下坠，耳垂
衰	sɔi44	衰：衰老，衰落
摔	pʰan51	摔：
帥	sai51	帅：元帅
錐	tsei44	锥：角锥，圆锥
水	ʃei31	水：喝水，水果，水平
誰	ʃei22	谁：
龜	kui44	龟：乌龟
癸	kʰui22	癸：天干第十
軌	kʰui31	轨：铁轨，轨道
愧	kʰui31	愧：惭愧
季	ki51	季：四季
逵	kʰui22	逵：李逵
葵	kʰui22	葵：向日葵，葵花籽
櫃	kʰui51	柜：门在顶上，柜台
位	vei51	位：地位，位子
帷	vei22	帷：运筹帷幄
維	vei22	维：维生素，纤维
遺	vei22	遗：遗失
惟	vei22	惟：惟一
唯	vei22	唯：唯物主义
飛	fei44	飞：飞机，鸟飞
非	fei44	非：是非，非常
匪	fei44	匪：土匪
榧	fei44	榧：草榧，香榧
疿	pei51	痱：痱子
沸	pei51	沸：水沸，沸腾
妃	fei44	妃：贵妃
菲	fei44	菲：菲薄
費	fei51	费：浪费，费用
肥	pʰei22	肥：肥料，化肥，肥肉
翡	fei44	翡：翡翠
微	mei22	微：细微，微小
薇	mei22	薇：紫薇，蔷薇
尾	mei44	尾：末尾，尾巴
未	vei51	未：未来（将来，还没有来）
味	mei51	味：味道，味精
歸	kui44	归：归来，回归，九九归一
鬼	kui31	鬼：
貴	kui51	贵：东西贵，贵客，宝贵
巍	vei22	巍：巍巍高山
魏	ŋuei51	魏：姓，魏国
揮	fei44	挥：指挥，挥手
輝	fei44	辉：光辉，日头辉，辉煌
徽	fei44	徽：国徽，徽章
諱	vei51	讳：忌讳
卉	fun31	卉：花卉
威	vei44	威：威风，发威
畏	vei51	畏：畏罪，畏惧
慰	vei31	慰：安慰，慰问
圍	vei22	围：围裙，包围，围墙，围巾
違	vei22	违：违背
偉	vei31	伟：伟大，雄伟
葦	vei31	苇：芦苇
緯	vei31	纬：经纬，纬线
胃	vei51	胃：肠胃，胃病
謂	vei51	谓：所谓
蝟	vei51	猬：刺猬
彙	fei51	汇：汇总，汇报，词汇
褒	pou44	褒：褒义，褒奖
保	pou31	保：保护，担保
寶	pou31	宝：宝贝，珍宝
堡	pou31	堡：碉堡，堡垒，地名有无特殊说法
報	pou51	报：报告，日报
袍	pʰau22	袍：长袍，袍子
抱	pʰau51	抱：拥抱，抱孩子
暴	pʰou51	暴：暴露，残暴
菢	pʰau51	菢：菢小鸡（孵）
毛	mou44	毛：毛笔，鸭毛
冒	mou51	冒：冒充
帽	mou51	帽：草帽
刀	tou44	刀：一把刀
叨	tou44	叨：唠叨，叨光（沾光）
倒	tou31	倒：打倒，倒掉
島	tou31	岛：
禱	tou31	祷：祈祷，祷告
搗	tou31	捣：捣乱
倒	tou31	倒：倒着走，倒车
到	tou51	到：到那里去
滔	tʰau44	滔：滔滔不绝，滔天
掏	tʰou22	掏：掏出来
討	tʰou31	讨：讨饭，讨老婆，讨名字
套	tʰou51	套：配套，套子
桃	tʰou22	桃：一种水果
逃	tʰou22	逃：逃难，逃命
淘	tʰou22	淘：淘米，淘气
陶	tʰou22	陶：陶瓷，姓
萄	tʰou22	萄：葡萄
濤	tʰou22	涛：波涛
稻	tʰou51	稻：水稻
道	tʰou51	道：道理，大道
導	tʰou31	导：领导，导演
盜	tʰou51	盗：强盗，盗窃
蹈	tʰau44	蹈：舞蹈
腦	nou31	脑：大脑，电脑
惱	nou31	恼：恼火，懊恼
勞	lou22	劳：劳动
撈	lou44	捞：海底捞月
牢	lou22	牢：坐牢，牢房
嘮	lou22	唠：唠叨
癆	lou22	痨：肺痨
老	lou31	老：年龄大，菜很老，老爷，老实
姥	lou31	姥：刘姥姥
澇	lou51	涝：洪涝
糟	tsou44	糟：糟糕，酒糟
遭	tsou44	遭：遭殃
早	tsou31	早：早上
棗	tsou31	枣：红枣
蚤	tsau31	蚤：跳蚤
澡	tsau31	澡：洗澡，澡盆
躁	tsʰau51	躁：脾气躁，暴躁
操	tsʰau44	操：做操，曹操
草	tsʰou31	草：
騲	tsʰou31	騲：草鸡（母鸡）
糙	tsʰou51	糙：粗糙
曹	tsʰou22	曹：姓，阴曹
槽	tsʰou22	槽：一条槽，猪槽
造	tsʰou51	造：制造，创造
皂	tsau51	皂：肥皂，皂角
騷	sou44	骚：风骚
臊	sou44	臊：羊臊气
嫂	sou31	嫂：大嫂，嫂嫂
掃	sou51	扫：扫地，打扫
燥	tsʰau51	燥：干燥，口干舌燥
掃	sou31	扫：扫帚
髙	kou44	高：高低，跳高
膏	kau44	膏：牙膏，膏药
篙	kou44	篙：竹篙
糕	kau44	糕：米糕，蛋糕
羔	kau44	羔：羊羔
稿	kou31	稿：草稿，稿子，稻草
吿	kou51	告：告状，报告
膏	kau44	膏：膏油，膏车
考	kʰau31	考：考试，大考
烤	kʰau31	烤：
拷	kʰau31	拷：拷打
靠	kʰau51	靠：可靠
犒	kʰau51	犒：犒劳
銬	kʰau51	铐：手铐
熬	au22	熬：难熬，熬药，忍住
傲	ŋau51	傲：骄傲，傲气
蒿	kou44	蒿：蓬蒿，蒿菜
好	hou31	好：好坏
好	hou31	好：爱好
耗	hou44	耗：消耗
毫	hou22	毫：毫厘
豪	hou22	豪：豪华，土豪
壕	hou22	壕：壕沟，战壕
號	hou51	号：号叫，号啕大哭
浩	hau44	浩：浩浩荡荡，人名用字
號	hou51	号：口号，号码
爊	ŋau22	爊：用文火久煮，~菜，~羹
襖	ou31	袄：棉袄
懊	ou51	懊：懊恼
奧	ou51	奥：奥妙
澳	ou51	澳：澳门
懊	ou51	懊：懊悔
包	pau44	包：钱包，包裹
胞	pau44	胞：同胞，胞衣
飽	pau31	饱：吃饱
豹	pau51	豹：一种动物
爆	pʰou51	爆：爆炸，爆芽
泡	pʰau51	泡：水泡，泡泡
拋	pʰau44	抛：抛弃
脬	feu22	脬：膀胱，阴囊
泡	pʰau51	泡：泡茶
炮	pʰau51	炮：枪炮
跑	pʰau44	跑：跑步
刨	pʰau22	刨：挖掘，刨地
鮑	pau51	鲍：姓，鲍鱼
鉋	pʰau22	刨：刨子，瓜刨
貓	meu51	猫：一种动物，大猫（老虎）
茅	mau22	茅：茅草
錨	mau22	锚：抛锚
卯	mau44	卯：子丑寅卯
貌	mau51	貌：相貌，礼貌
鐃	ȵiau22	铙：
撓	nau22	挠：不屈不挠
閙	nau51	闹：热闹，闹事
罩	tsau51	罩：灯罩，床罩
抓	tsa44	抓：抓革命，抓牌
爪	tsau31	爪：脚爪
找	tsau31	找：找东西，找钱（退回多余的钱）
笊	tsau51	笊：笊篱（捞馄饨）
抄	tsʰau44	抄：抄书，抄袭
鈔	tsʰau31	钞：钞票
炒	tsʰau31	炒：小炒，炒股
吵	tsʰau22	吵：吵架
巢	tsʰau22	巢：雀巢，黄巢
梢	sau44	梢：树梢
筲	tsʰap031	筲：筲箕，洗米的竹器
捎	sau44	捎：捎口信
稍	sau44	稍：稍息，稍等
潲	sau51	潲：猪食
潲	sau44	潲：潲雨
哨	sau51	哨：口哨，放哨
交	kau44	交：交通，交白卷
膠	kau44	胶：胶水，橡胶
郊	kau44	郊：郊区
敎	kau44	教：教书
茭	kau44	茭：茭白
絞	kau31	绞：绞毛巾
狡	kau31	狡：狡猾
鉸	kau44	铰：铰剪
搞	kau31	搞：玩，搞革命
攪	kau31	搅：打搅，搅拌
敎	kau51	教：教育，教师
較	kau31	较：较劲，比较
酵	hau22	酵：发酵，酵母
校	kau31	校：校对，校手表
覺	kɔk031	觉：睏（一）觉
窖	kau51	窖：地窖，番薯窖
敲	kʰau44	敲：敲门，敲锣
骹	kau31	骹：脚
巧	kʰau31	巧：碰巧
咬	ŋau44	咬：狗咬吕洞宾
哮	hau51	哮：哮喘
孝	hau51	孝：带孝，孝顺
淆	hau22	淆：混淆
肴	jau22	肴：佳肴，菜肴
校	kau31	校：学校，校长
校	kau31	校：上校
效	hau31	效：效果，成效
凹	au44	凹：凹凸镜，凹下去
坳	au44	坳：山坳
靿	ʃou44	靿：靴或袜子的筒儿
拗	au31	拗：折断
臕	piau44	膘：肥膘
標	pʰiau44	标：标志
表	piau31	表：表面，表扬
錶	piau44	表：手表
婊	piau31	婊：婊子
飄	pʰiau44	飘：
漂	pʰiau51	漂：漂白
票	pʰiau51	票：饭票，车票
漂	pʰiau51	漂：漂亮
瓢	pʰiau22	瓢：勺子，瓢泼大雨
嫖	pʰiau22	嫖：嫖妓女
薸	pʰeu22	薸：浮萍，可作猪食
鰾	pʰiau22	鳔：鱼鳔（鱼泡）
貓	meu51	猫：花猫
苗	miau22	苗：秧苗，火苗，苗族
描	miau22	描：描写，描红
秒	miau31	秒：一分一秒
渺	miau31	渺：渺茫，渺小
藐	miau31	藐：藐视
廟	miau51	庙：庙会
妙	miau31	妙：妙计，巧妙
燎	liau22	燎：燎原
燎	liau22	燎：火燎眉毛
療	liau22	疗：治疗，疗养
焦	tsiau44	焦：焦作，姓，烧焦了
蕉	tsiau44	蕉：香蕉
椒	tsiau44	椒：辣椒，花椒，胡椒
剿	tsiau31	剿：围剿
醮	tsiau51	醮：打醮，再醮
鍬	tsʰiu44	锹：铁锹，锹煤
繰	tsʰau51	缲：缲边（把布边往里卷，然后藏着针脚缝）
悄	sau44	悄：静悄悄
俏	tsʰiau51	俏：商品紧俏
偢	sou22	偢：傻
樵	tsiau44	樵：渔樵耕读，柴草
瞧	tsʰiau22	瞧：看
消	siau44	消：消化，抵消
宵	siau44	宵：良宵
霄	siau44	霄：云霄
硝	siau44	硝：硝烟，硝酸
銷	siau44	销：供销社
小	siau31	小：大小（物体大小，年龄大小，排行大小）
逍	siau44	逍：逍遥
笑	siau51	笑：动作，笑话
肖	siau51	肖：姓，生肖
超	tʃʰau44	超：超过
潮	tʃʰau22	潮：潮水，涨潮
朝	tʃʰau22	朝：动词，朝代
趙	tʃʰau51	赵：姓，赵匡胤
兆	tʃʰau51	兆：人名用字
召	tʃʰau51	召：号召，召集
昭	tʃau44	昭：王昭君
招	tʃau44	招：招手
沼	ʃau51	沼：沼气，沼泽
照	tʃau51	照：用手电照
詔	tʃau51	诏：诏书
燒	ʃau44	烧：发烧，烧水
少	ʃau31	少：多少
少	ʃau51	少：少爷，少年
