#漢字	音標	解釋
多	tɔ55	多 多少
肌	kei55	肌 肌肉
几	kei55	几 茶几
器	hei33	器 武器
棄	hei33	弃 放弃
伊	ji55	伊 伊犁
夷	ji21	夷 化险为夷
姨	ji55	姨 阿姨
姨	ji21	姨 姨丈
你	lei24	你 你们
厘	lei21	厘 厘米
狸	lei21	狸 狐狸
李	lei24	李 姓
里	lei24	里 公里
裏	løi24	里 里面
理	lei24	理 道理
鯉	lei24	鲤 鲤鱼
吏	lei24	吏 官吏
兹	tsi55	兹 公文用语
滋	tsi55	滋 滋润
子	tsi35	子 孔子；子孙
梓	tsi35	梓 桑梓
慈	tsʰi21	慈 慈悲
磁	tsʰi21	磁 磁铁
字	tsi22	字 文字
司	si55	司 公司
絲	si55	丝 丝绸
思	si55	思 思念
伺	si21	伺 伺机应变
思	si55	思 意思
辭	tsʰi21	辞 告辞
詞	tsʰi21	词 歌词
祠	tsʰi21	祠 祠堂
似	tsʰi24	似 相似
祀	tsi22	祀 祭祀
寺	tsi22	寺 寺庙
嗣	tsʰi21	嗣 后嗣
飼	tsʰi21	饲 饲养
置	tsi22	置 布置
癡	tsi55	痴 痴呆
恥	tsʰi35	耻 耻辱
持	tsʰi21	持 坚持
痔	tsi22	痔 痔疮
治	tsi22	治 治安
廁	tsʰi33	厕 厕所
士	si22	士 士兵
仕	si22	仕 仕途
柿	tsʰi35	柿 柿子
事	si22	事 事情
使	si35	使 大使馆
使	sɐi35	使 使用
史	si35	史 历史
駛	sɐi35	驶 驾驶
之	tsi55	之 之前
芝	tsi55	芝 灵芝
止	tsi35	止 停止
趾	tsi35	趾 脚趾
址	tsi35	址 地址
志	tsi33	志 志气
誌	tsi33	志 标志
痣	tsi22	痣 与胎记不同
齒	tsʰi35	齿 牙齿
詩	si55	诗 诗人
始	tsʰi35	始 开始
試	si33	试 考试
時	si21	时 时间
市	si24	市 市场
恃	tsʰi21	恃 有恃无恐，自恃
侍	si22	侍 服侍
而	ji21	而 而且
耳	ji24	耳 耳朵
餌	lei22	饵 钓饵
基	kei55	基 基本
箕	kei55	箕 粪箕
己	kei35	己 自己
紀	kei35	纪 纪律
紀	kei35	纪 纪念
記	kei33	记 记号
欺	hei55	欺 欺负
起	hei35	起 起床
杞	kei35	杞 枸杞
其	kʰei21	其 其他
棋	kʰei21	棋 下棋
期	kʰei21	期 日期
旗	kʰei21	旗 红旗
忌	kei22	忌 禁忌
疑	ji21	疑 怀疑
擬	ji35	拟 拟人
嬉	hei55	嬉 嬉戏
煕	hei55	熙 康熙
喜	hei35	喜 喜欢
醫	ji55	医 医生
意	ji33	意 大意
飴	ji21	饴 饴糖
已	ji24	已 已经
以	ji24	以 可以
異	ji22	异 异同
幾	kei55	几 几乎
機	kei55	机 机器
譏	kei55	讥 讥笑
饑	kei55	饥 饥荒
幾	kei35	几 几个
既	kei33	既 既然
豈	hei35	岂 岂有此理
氣	hei33	气 空气
汽	hei33	汽 汽车
祈	kʰei21	祈 祈祷
毅	ŋɐi22	毅 毅力
希	hei55	希 希望
稀	hei55	稀 稀有
衣	ji55	衣 衣服
依	ji55	依 依靠
累	løi22	累 累积
累	løi22	累 连累
嘴	tsøi35	嘴 嘴巴
髓	søi21	髓 骨髓
隨	tsʰøi21	隨 随便
吹	tsʰøi55	吹 吹牛
炊	tsʰøi55	炊 炊烟
垂	søi21	垂 下垂
睡	søi22	睡 午睡
瑞	søi22	瑞 瑞雪
蕊	jøi22	蕊 花蕊
規	kwʰɐi55	规 规矩
詭	kwɐi35	诡 诡计
虧	kwʰɐi55	亏 吃亏
窺	kwʰɐi55	窥 偷窥
跪	kwɐi22	跪 下跪
危	ŋɐi21	危 危险
僞	ŋɐi22	伪 虚伪
毀	wɐi24	毁 毁灭
萎	wɐi24	萎 枯萎
委	wɐi35	委 委托
爲	wɐi21	为 为什么
爲	wɐi22	为 行为
壘	løi24	垒 堡垒
類	løi22	类 分类
淚	løi22	泪 眼泪
醉	tsøi33	醉 喝醉
翠	tsʰøi33	翠 翡翠
雖	søi55	虽 虽然
粹	søi24	粹 纯粹
遂	søi22	遂 未遂
隧	søi22	隧 隧道
穗	søi22	穗 谷穗
追	tsøi55	追 追赶
槌	tsʰøi21	槌 棒槌
錘	tsʰøi21	锤 铁锤
墜	tsøi22	坠 下坠
衰	sɔi55	衰 衰老
摔	søt055	摔 摔跤
帥	sɔi33	帅 元帅
錐	tsøi55	锥 圆锥
水	søi35	水 水果
誰	søi21	谁 谁人
龜	kwɐi55	龟 乌龟
軌	kwɐi35	轨 铁轨
癸	kwʰɐi21	癸 天干第十
愧	kwʰɐi24	愧 惭愧
季	kwɐi33	季 四季
逵	kwʰɐi35	逵 李逵
葵	kwʰɐi21	葵 向日葵
櫃	kwɐi22	柜 柜台
位	wɐi22	位 地位
維	wɐi21	维 维持
惟	wɐi21	惟 惟一
遺	wɐi21	遗 遗失
唯	wɐi21	唯 唯有
非	fei55	非 非常
飛	fei55	飞 飞机
匪	fei35	匪 土匪
痱	pei22	痱 痱子，热痱
沸	fɐt022	沸 沸腾
妃	fei55	妃 贵妃
費	fɐi22	费 浪费
肥	fɐi21	肥 肥料
翡	fei35	翡 翡翠
微	mei21	微 细微
尾	mei24	尾 尾巴
未	mei22	未 未来
味	mei22	味 味道
歸	kwɐi55	归 回归
鬼	kwɐi35	鬼 鬼神
貴	kwɐi33	贵 贵客
魏	ŋɐi35	魏 魏国；姓
揮	fɐi55	挥 指挥
輝	fɐi55	辉 光辉
徽	fei55	徽 国徽
諱	wɐi24	讳 忌讳
威	wɐi55	威 威风
畏	wɐi24	畏 畏罪
慰	wɐi24	慰 安慰
違	wɐi21	违 违背
圍	wɐi21	围 包围
偉	wɐi24	伟 伟大
葦	wɐi24	苇 芦苇
緯	wɐi24	纬 经纬
胃	wɐi22	胃 肠胃
謂	wɐi22	谓 所谓
蝟	wɐi24	猬 刺猬
匯	wui22	汇 汇报
褒	pou55	褒 褒奖
保	pou35	保 保护
堡	pou35	堡 碉堡
寶	pou35	宝 宝贝
報	pou33	报 报告；日报
袍	pʰou21	袍 长袍
抱	pʰou35	抱 拥抱
暴	pou22	暴 暴露
菢	pou22	菢 菢小鸡
毛	mou21	毛 毛笔
冒	mou22	冒 冒充
帽	mou35	帽 草帽
刀	tou55	刀 菜刀
禱	tʰou35	祷 祈祷
島	tou35	岛 海岛
搗	tou35	捣 捣乱
倒	tou35	倒 打倒
到	tou33	到 来到
倒	tou35	倒 倒水
滔	tʰou55	滔 滔滔不绝
討	tʰou35	讨 讨好
套	tʰou33	套 配套
桃	tʰou21	桃 桃花
逃	tʰou21	逃 逃难
淘	tʰou21	淘 淘米
陶	tʰou21	陶 陶瓷
萄	tʰou21	萄 葡萄
濤	tʰou21	涛 波涛
道	tou22	道 道理
稻	tou22	稻 水稻
盜	tou22	盗 强盗
導	tou22	导 领导
腦	lou24	脑 大脑
惱	lou22	恼 恼火
勞	lou21	劳 劳动
撈	lau21	捞 打捞
撈	lau21	捞 捞钱，捞面
牢	lou21	牢 坐牢
老	lou24	老 老实
澇	lou21	涝 洪涝
遭	tsou55	遭 遭殃
糟	tsou55	糟 糟糕
早	tsou35	早 早上
棗	tsou35	枣 红枣
蚤	tsou35	蚤 跳蚤
澡	tsʰou33	澡 洗澡
躁	tsʰou33	躁 暴躁
竈	tsou33	灶 灶神
操	tsʰou55	操 操作
草	tsʰou35	草 青草
糙	tsou22	糙 粗糙，糙米
曹	tsʰou21	曹 阴曹
槽	tsʰou21	槽 猪槽
皂	tsou22	皂 肥皂；皂角
造	tsou22	造 制造
騷	sou55	骚 风骚
臊	sou55	臊 羊臊气
掃	sou33	扫 扫把（名）
嫂	sou35	嫂 大嫂
掃	sou33	扫 扫地（动）
髙	kou55	高 跳高
膏	kou55	膏 牙膏；膏药
篙	kou55	篙 竹篙
羔	kou55	羔 羊羔
糕	kou55	糕 蛋糕
稿	kau35	稿 草稿
吿	kou22	告 报告
考	hau35	考 考试
烤	hau55	烤 烧烤
靠	kʰau33	靠 可靠
銬	kʰau33	铐 手铐
熬	ŋau21	熬 难熬
傲	ŋou22	傲 骄傲
好	hou35	好 好坏
好	hou33	好 爱好
耗	hou33	耗 消耗
毫	hou21	毫 毫厘
壕	hou21	壕 战壕
豪	hou21	豪 豪华
號	hou22	号 号叫，呼号（动）
浩	hou22	浩 浩荡
號	hou22	号 号码（名）
襖	ou35	襖 棉襖
懊	ou33	懊 懊恼
奧	ou33	奥 奥妙
懊	ou33	懊 懊悔
澳	ou33	澳 澳门
包	pau55	包 钱包
胞	pau55	胞 同胞
飽	pau35	饱 吃饱
豹	pʰau33	豹 一种动物
爆	pau33	爆 爆炸
泡	pʰau33	泡 泡茶
拋	pʰau55	抛 抛弃
炮	pʰau33	炮 枪炮
泡	pʰau33	泡 水泡，泡沫
跑	pʰau35	跑 跑步
刨	pʰau21	刨 刨地，刨木
鮑	pau55	鲍 鲍鱼
鉋	pʰau21	刨 刨子，瓜刨
茅	mau21	茅 茅草
貓	miɛu55	猫 花猫
錨	mau21	锚 抛锚
卯	mau24	卯 子丑寅卯
貌	mau22	貌 礼貌
鬧	lau22	闹 热闹
罩	tsau33	罩 灯罩
抓	tsa55	抓 抓牌
爪	tsau35	爪 脚爪
找	tsau35	找 找东西
笊	tsau35	笊 笊籬（捞馄饨用）
抄	tsʰau55	抄 抄书
鈔	tsʰau55	钞 钞票
炒	tsʰau35	炒 炒股
吵	tsʰau35	吵 吵架
巢	tsʰau21	巢 雀巢
梢	sau55	梢 树梢
稍	sau35	稍 稍等
潲	sau33	潲 猪食
哨	sau33	哨 口哨
交	kau55	交 交通
郊	kau55	郊 郊区
膠	kau55	胶 胶水
敎	kau33	教 教书
茭	kau55	茭 茭笋，茭白
絞	kau35	绞 绞毛巾
狡	kau35	狡 狡猾
鉸	kau33	铰 铰剪
攪	kau35	搅 搅拌
搞	kau35	搞 搞好
敎	kau33	教 教育
校	hau21	校 上校
較	kau22	较 比较
酵	hau22	酵 发酵
窖	kau22	窖 地窖
覺	kau33	觉 睡觉
敲	kʰau55	敲 敲门
巧	hau35	巧 碰巧
咬	ŋau24	咬 咬人
哮	hau55	哮 哮喘
孝	hau33	孝 孝顺
肴	ŋau21	肴 佳肴
淆	ŋau21	淆 混淆
效	hau22	效 效果
校	kau22	校 校对
校	hau22	校 学校
坳	au22	坳 山坳
膘	piu55	膘 肥膘
標	piu55	标 标志
表	piu35	表 表示
錶	piu55	表 手表
飄	pʰiu55	飘 飘扬
漂	pʰiu33	漂 漂白
票	pʰiu33	票 车票
漂	pʰiu33	漂 漂亮
嫖	pʰiu21	嫖 嫖妓
鰾	pɔk055	鳔 鱼鳔（鱼泡）
苗	miu21	苗 火苗
描	miu21	描 描写
貓	miɛu55	猫 猫咪
藐	mau22	藐 藐视
渺	miu24	渺 渺小
秒	miu24	秒 一分一秒
廟	miu22	庙 庙会
妙	miu22	妙 妙计
燎	liu21	燎 火烧火燎
燎	liu21	燎 燎原
療	liu21	疗 治疗
焦	tsiu55	焦 焦作
蕉	tsiu55	蕉 香蕉
椒	tsiu55	椒 辣椒
剿	tsiu35	剿 围剿
醮	tsiu33	醮 打醮
鍬	tsʰiu55	锹 铁锹
悄	siu55	悄 静悄悄
俏	tsʰiu33	俏 娇俏
樵	tsiu55	樵 打樵，樵夫
瞧	tsʰiu21	瞧 瞧一瞧
消	siu55	消 消化
宵	siu55	宵 良宵
霄	siu55	霄 云霄
硝	siu55	硝 硝酸
銷	siu55	销 供销社
小	siu35	小 大小
笑	siu33	笑 笑话
肖	tsʰiu33	肖 生肖
朝	tsiu55	朝 今朝
超	tsʰiu55	超 超过
朝	tsʰiu21	朝 朝代
潮	tsʰiu21	潮 潮水
趙	tsʰiu22	赵 赵国；姓
兆	siu22	兆 人名用字；预兆
召	tsiu22	召 号召
昭	tsiu55	昭 王昭君
招	tsiu55	招 招手
沼	tsiu22	沼 沼气
照	tsiu33	照 照明
燒	siu55	烧 发烧
少	siu35	少 多少
少	siu33	少 少年，少爷
韶	siu21	韶 韶关
紹	siu22	绍 介绍
邵	siu22	邵 姓
饒	jiu21	饶 求饶
擾	jiu35	扰 打扰
繞	jiu35	绕 绕线团
繞	jiu35	绕 围绕
驕	kiu55	骄 骄傲
嬌	kiu55	娇 撒娇
矯	kiu35	矫 矫正
喬	kʰiu21	乔 姓
僑	kʰiu21	侨 华侨
橋	kʰiu21	桥 桥梁
蕎	kʰiu21	荞 荞麦
轎	kiu235	轿 抬轿
囂	hiu55	嚣 嚣张
妖	jiu35	妖 妖怪
邀	jiu55	邀 邀请
腰	jiu55	腰 腰疼
要	jiu55	要 要求
要	jiu33	要 重要
搖	jiu21	摇 摇篮
謠	jiu21	谣 民谣
窑	jiu21	窑 官窑
姚	jiu21	姚 姓
舀	jiu35	舀 舀水
耀	jiu33	耀 照耀
鷂	jiu35	鹞 纸鹞
刁	tiu55	刁 嘴刁
貂	tiu55	貂 貂皮
雕	tiu55	雕 雕塑；座山雕
鳥	liu35	鸟 小鸟
釣	tiu33	钓 钓鱼
吊	tiu33	吊 上吊
挑	tʰiu55	挑 挑选
跳	tʰiu33	跳 跳高，跳起来
糶	tiɛk033	粜 粜米（卖米）
條	tʰiu21	条 条件
調	tʰiu21	调 调和
掉	tiu22	掉 走掉
調	tiu22	调 调动
調	tiu22	调 音调，高调
尿	liu22	尿 撒尿
聊	liu21	聊 聊天
遼	liu21	辽 辽宁
撩	liu55	撩 撩起来
寮	liu21	寮 竹寮，茶寮
了	liu24	了 了结
瞭	liu21	瞭 瞭望
料	liu22	料 肥料
蕭	siu55	萧 姓
簫	siu55	箫 吹箫
澆	jiu35	浇 浇花
繳	kiu35	缴 上缴
僥	hiu55	侥 侥幸
叫	kiu33	叫 大叫
竅	kʰiu35	窍 窍门
堯	jiu21	尧 尧舜禹
曉	hiu35	晓 晓得
杳	miu35	杳 杳无音讯
剖	fɐu35	剖 解剖
某	mɐu24	某 某人
畝	mɐu24	亩 一亩田
牡	mɐu24	牡 牡丹
母	mou24	母 母亲
拇	mou24	拇 拇指
戊	mɐu22	戊 戊戌变法
茂	mɐu22	茂 茂盛
貿	mɐu22	贸 外贸
兜	tɐu55	兜 兜风
斗	tɐu35	斗 十升为斗
抖	tɐu35	抖 发抖
陡	tɐu35	陡 陡峭
鬥	tɐu33	斗 斗争
偸	tʰɐu55	偷 偷东西
㪗	tʰɐu35	敨 敨开，敨气
透	tʰɐu33	透 透明
頭	tʰɐu21	头 头发
投	tʰɐu21	投 投降
豆	tɐu22	豆 豆芽
逗	tɐu22	逗 逗号
痘	tɐu22	痘 水痘
樓	lɐu21	楼 上楼
簍	lɐu35	篓 竹篓
摟	lɐu35	搂 搂抱
漏	lɐu22	漏 漏雨
陋	lɐu22	陋 简陋
走	tsɐu35	走 行走
奏	tsɐu33	奏 节奏
湊	tsʰɐu33	凑 凑数
叟	sɐu35	叟 童叟无欺
嗽	sɐu33	嗽 咳嗽
勾	ŋɐu55	勾 勾当
鉤	ŋɐu55	钩 鱼钩
溝	kʰɐu55	沟 沟通
狗	kɐu35	狗 小狗
苟	kɐu35	苟 苟且偷生
够	kɐu33	够 足够
構	kʰɐu33	构 结构
購	kʰɐu33	购 购买
勾	ŋɐu55	勾 勾引
摳	kʰɐu55	抠 抠出来
口	hɐu35	口 门口
叩	kʰɐu33	叩 叩头
扣	kʰɐu33	扣 扣钱
寇	kʰɐu33	寇 倭寇
藕	ŋɐu35	藕 莲藕
偶	ŋɐu35	偶 偶然
偶	ŋɐu35	偶 配偶
侯	hɐu21	侯 诸侯
喉	hɐu21	喉 喉咙
猴	hɐu21	猴 猴子
後	hɐu22	后 后来
厚	hɐu24	厚 忠厚
后	hɐu22	后 皇后
候	hɐu22	候 等候
歐	ɐu55	欧 欧洲
甌	ɐu55	瓯 瓯江
嘔	ɐu35	呕 呕吐
毆	ɐu55	殴 殴打
漚	ɐu33	沤 久浸水中（沤肥）
慪	ɐu33	怄 怄气
否	fɐu35	否 否定
富	fu33	富 富贵
副	fu33	副 正副（副省长）
浮	fɐu21	浮 浮动；轻浮
婦	fu24	妇 妇女
負	fu22	负 负担
復	fok055	复 复兴
謀	mɐu21	谋 阴谋
矛	mau21	矛 矛盾
紐	lɐu35	纽 纽扣
扭	lɐu35	扭 扭动
流	lɐu21	流 流动
劉	lɐu21	刘 姓
留	lɐu21	留 留下
榴	lɐu21	榴 石榴
硫	lɐu21	硫 硫磺
琉	lɐu21	琉 琉璃
柳	lɐu24	柳 柳树
溜	lɐu21	溜 溜走
餾	lɐu21	馏 蒸馏水
廖	liu22	廖 姓
揪	tsʰɐu55	揪 揪头发
酒	tsɐu35	酒 酒精
秋	tsʰɐu55	秋 秋千
秋	tsʰɐu55	秋 秋天
鰍	tsʰɐu55	鳅 泥鳅
就	tsɐu22	就 成就
修	sɐu55	修 修理
羞	sɐu55	羞 害羞
秀	sɐu33	秀 清秀
繡	sɐu33	绣 绣花
宿	sok055	宿 宿舍
銹	sɐu33	锈 生锈
囚	tsʰɐu21	囚 囚犯
袖	tsɐu22	袖 领袖
肘	tsɐu22	肘 手肘，肘子
晝	tsɐu33	昼 日昼
抽	tsʰɐu55	抽 抽出
丑	tsʰɐu35	丑 子丑寅卯
綢	tsʰɐu21	绸 丝绸
稠	tsʰɐu21	稠 稠密
籌	tsʰɐu21	筹 筹备
宙	tsɐu22	宙 宇宙
鄒	tsɐu55	邹 姓
皺	tsɐu33	皱 皱纹
愁	sɐu21	愁 发愁
驟	tsɐu22	骤 步骤；暴风骤雨
搜	sɐu35	搜 搜查，搜身
餿	sok055	馊 饭馊了
蒐	sɐu35	搜 搜集
瘦	sɐu33	瘦 瘦小
周	tsɐu55	周 姓；周围
舟	tsɐu55	舟 舟山
州	tsɐu55	州 杭州
洲	tsɐu55	洲 亚洲
帚	tsɐu35	帚 扫帚
咒	tsɐu33	咒 咒人
醜	tsʰɐu35	丑 丑陋
臭	tsʰɐu33	臭 香臭
收	sɐu55	收 秋收，收集
手	sɐu35	手 手段
首	sɐu35	首 首都
守	sɐu35	守 保守
獸	sɐu33	兽 野兽
仇	sɐu21	仇 报仇
酬	tsʰɐu21	酬 报酬
受	sɐu22	受 接受
壽	sɐu22	寿 寿星
授	sɐu22	授 教授
售	tsʰɐu21	售 出售
柔	jɐu21	柔 温柔
揉	jɐu21	揉 揉眼睛，揉面团
鳩	kɐu55	鸠 斑鸠
鬮	kɐu55	阄 抓阄
糾	tɐu35	纠 纠缠
九	kɐu35	九 第九
久	kɐu35	久 长久
韭	kɐu35	韭 韭菜
灸	kɐu33	灸 针灸
救	kɐu33	救 救命
究	kɐu33	究 研究
丘	jɐu55	丘 姓；山丘
求	kʰɐu21	求 要求
球	kʰɐu21	球 地球
仇	sɐu21	仇 姓
臼	kʰɐu35	臼 脱臼
舅	kʰɐu35	舅 舅舅，舅父
舊	kɐu22	旧 新旧
柩	kɐu22	柩 灵柩
牛	ŋɐu21	牛 吹牛
休	jɐu55	休 休息
朽	lɐu35	朽 腐朽
嗅	tsʰɐu33	嗅 嗅觉
憂	jɐu55	忧 担忧
優	jɐu55	优 优秀
尤	jɐu21	尤 尤其
郵	jɐu21	邮 邮票
有	jɐu24	有 有无
友	jɐu24	友 朋友
又	jɐu22	又 又一次
右	jɐu22	右 左右
佑	jɐu22	佑 保佑
由	jɐu21	由 理由
油	jɐu21	油 花生油
游	jɐu21	游 旅游
猶	jɐu21	犹 犹豫
悠	jɐu21	悠 悠闲
酉	jɐu35	酉 地支第十
誘	jɐu24	诱 引诱
柚	jɐu35	柚 柚子
釉	jɐu35	釉 釉彩
彪	piu55	彪 林彪
謬	mɐu22	谬 谬论
丟	tiu22	丢 丢失
糾	tɐu35	纠 纠正
幽	jɐu55	幽 幽默
幼	jɐu33	幼 幼稚
耽	tan55	耽 耽误
答	tat022	答 回答
搭	tat022	搭 搭车，衣服搭在肩上
貪	tʰan55	贪 贪心
探	tʰan22	探 探路
踏	tat022	踏 脚踏
潭	tʰan21	潭 湘潭
譚	tʰan21	谭 姓
沓	tat022	沓 一沓纸
南	lan21	南 南方
男	lan21	男 男人
納	lat022	纳 出纳
拉	lai55	拉 拖拉
參	tsʰan55	参 参加
慘	tsʰan35	惨 悲惨
蠶	tsʰan21	蚕 蚕丝
雜	tsat022	杂 复杂
感	kan35	感 感谢
合	hat022	合 合作
蛤	ha55	蛤 蛤蜊，花蛤
鴿	kat033	鸽 鸽子
堪	hɐm55	堪 难堪
坎	kan35	坎 坎坷；坎头
砍	kan35	砍 砍柴
勘	kan33	勘 勘探
喝	hɔt033	喝 喝彩
含	hɐm21	含 包含
函	han21	函 信函
撼	hɐm33	撼 震撼
憾	hɐm24	憾 遗憾
合	hat022	合 十合一升
盒	hat022	盒 盒子
庵	ɐm55	庵 尼姑庵
揞	ɐm35	揞 揞住
暗	ɐm33	暗 黑暗
擔	tan55	担 担任（动）
膽	tan35	胆 胆小
擔	tan33	担 挑担（名）
坍	tan55	坍 坍塌
塔	tʰat033	塔 一座塔
遢	tʰat033	遢 邋遢
塌	tʰat033	塌 倒塌
談	tʰan21	谈 谈话
痰	tʰan21	痰 吐痰
淡	tʰan24	淡 咸淡；浓淡
藍	lan21	蓝 蓝色
籃	lan21	篮 篮子
覽	lan24	览 阅览
攬	lan24	揽 包揽
欖	lan35	榄 橄榄
濫	lan22	滥 泛滥
纜	lan22	缆 缆绳，缆车
臘	lat033	腊 腊肉
蠟	lat033	蜡 蜡烛
慚	tsʰan21	惭 惭愧
暫	tsan22	暂 暂时
三	san55	三 第三
甘	kan55	甘 甘蔗
柑	kɐŋ55	柑 芦柑
敢	kan35	敢 勇敢
橄	kan35	橄 橄榄
喊	han33	喊 叫喊
站	tsan22	站 站立
劄	tsat022	扎 针扎
賺	tsan22	赚 赚钱
站	tsan22	站 车站
斬	tsan35	斩 刀斩
蘸	tin35	蘸 蘸酱油
眨	tsan24	眨 眨眼
插	tsʰat022	插 插秧
讒	tsʰan21	谗 谗言
閘	tsat022	闸 闸门
煠	sat022	炸 把食物放入沸水或沸油里弄熟
杉	tsʰan33	杉 杉树
尷	kan33	尴 尴尬
減	kan35	减 加减
鹼	kan35	碱 发酵用
夾	kat022	夹 夹子；夹东西
裌	kat033	夹 夹衣，夹袄
恰	hat033	恰 恰当
咸	han21	咸 咸丰
鹹	han21	咸 咸淡
陷	han22	陷 陷井
餡	hɐm35	馅 饺子馅
狹	hat033	狭 狭窄
峽	hat022	峡 三峡
洽	hɐt055	洽 洽谈
衫	san55	衫 衬衫
監	kan55	监 监视，监牢
鑒	kan33	鉴 鉴定
監	kan33	监 国子监；太监
甲	kat033	甲 天干第一
胛	kat033	胛 肩胛
嵌	hin33	嵌 镶嵌
巖	ŋan21	岩 岩石，石灰岩
銜	hɐm21	衔 军衔
艦	lan22	舰 军舰
匣	hat022	匣 匣子
鴨	at033	鸭 鸭子
押	at033	押 押送
壓	at033	压 压力
貶	pin35	贬 贬值
黏	nin55	黏 黏米，黏合剂
聶	nit033	聂 姓
廉	lin21	廉 廉洁
鐮	lin21	镰 镰刀
簾	lin21	帘 窗帘
斂	lin24	敛 收敛
殮	lin24	殓 殡殓
獵	lit033	猎 打猎
尖	tsin55	尖 尖刀
殲	tsʰin55	歼 歼灭
接	tsit033	接 接待
籤	tsʰin55	签 牙签
簽	tsʰin55	签 签名
妾	tsʰit033	妾 妻妾
潛	tsʰin21	潜 潜水
漸	tsin22	渐 逐渐
捷	tsit033	捷 捷报
沾	tsin55	沾 沾湿
粘	lin55	粘 粘贴
占	tsin22	占 占卜
佔	tsin22	占 占有，占地方
摺	tsit033	折 折被子，折纸
陝	sin35	陕 陕西
閃	sin35	闪 闪电
攝	sit033	摄 摄影
蟾	sin21	蟾 蟾蜍，蟾酥
涉	sit033	涉 干涉
染	jin22	染 污染
檢	kin35	检 检查
臉	lin35	脸 脸色
鉗	kʰin21	钳 钳子
儉	hin35	俭 节俭
驗	jin22	验 试验
險	hin35	险 危险
淹	jin35	淹 淹没
閹	jin55	阉 阉割
掩	jin35	掩 掩护
厭	jin33	厌 讨厌
炎	jin21	炎 炎热
鹽	jin21	盐 食盐(名）
閻	jin21	阎 阎王
檐	jin21	檐 屋檐
艷	jin22	艳 鲜艳
焰	jin22	焰 火焰
鹽	jit033	盐 腌制（动）
葉	jit022	叶 树叶
頁	jit022	页 一页
劍	kin22	剑 宝剑
劫	kit033	劫 抢劫
欠	hin33	欠 欠债
怯	hit033	怯 胆怯
嚴	jin21	严 严格
業	jit022	业 事业
脅	hit033	胁 威胁
腌	jin55	腌 腌制
掂	tin22	掂 掂分量
點	tin35	点 点头
店	tin33	店 商店
踮	tin55	踮 踮脚尖
跌	tit033	跌 跌打损伤
添	tʰin55	添 添加
舔	tʰin35	舔 以舌取物
帖	tʰit033	帖 请帖
貼	tʰit033	贴 张贴
甜	tʰin21	甜 甜蜜
疊	tit022	叠 折叠
碟	tit022	碟 碟子
牒	tit022	牒 通牒
蝶	tit022	蝶 蝴蝶
諜	tit022	谍 间谍
拈	tin55	拈 拈花惹草
念	lin22	念 想念
兼	kin55	兼 兼职
挾	kat022	挟 挟菜
謙	hin55	谦 谦虚
歉	hit033	歉 道歉
嫌	hin21	嫌 嫌弃
協	hit033	协 协作
俠	hat022	俠 侠义，大侠
法	fat033	法 办法
泛	fan22	泛 广泛
凡	fan21	凡 凡是
帆	fan21	帆 船帆
范	fan22	范 姓
範	fan22	范 规范
犯	fan22	犯 犯法
乏	fɐt022	乏 乏力
稟	pɐn35	禀 禀报
品	pɐn35	品 品德
賃	jɐn22	赁 租赁
林	lɐn21	林 树林
淋	lɐn21	淋 淋雨
臨	lɐn21	临 临时
立	lɐt022	立 立正
笠	lɐt055	笠 斗笠
粒	lɐt055	粒 颗粒
浸	tsɐn22	浸 浸水
侵	tsʰɐn55	侵 侵略
寢	tsʰɐn24	寝 寝室
集	sat022	集 集体
輯	tsʰɐt055	辑 编辑
心	sɐn55	心 心思
尋	tsʰɐn21	寻 寻找
習	tsat022	习 学习
襲	tsat022	袭 袭击
砧	tsɐn55	砧 砧板
沉	tsʰɐn21	沉 沉浮
蟄	tsek022	蛰 惊蛰
簪	tsan55	簪 发簪
岑	sɐn21	岑 姓
森	sɐn55	森 森林
參	sɐn55	参 人参
滲	sɐn33	渗 渗水
澀	kit033	涩 羞涩
針	tsɐn55	针 针对
斟	tsɐn55	斟 斟酒
枕	tsɐm35	枕 枕头（名）
枕	tsɐm35	枕 枕枕头（动）
執	tsɐt055	执 执行
汁	tsɐt055	汁 果汁
深	sɐn55	深 深入
沈	sɐn35	沈 沈阳
嬸	sɐn35	婶 叔之妻
審	sɐn35	审 审问
濕	sɐt055	湿 湿润
甚	sɐn22	甚 甚至
十	sɐt022	十 第十
拾	sɐt022	拾 拾金不昧
任	jɐn21	任 姓
任	jɐn21	任 责任
紝	jɐn21	纴 缝纴
入	jɐt022	入 进入
今	kɐn55	今 今天
金	kɐn55	金 金银
禁	kɐn22	禁 禁不住
襟	kʰɐn55	襟 连襟
錦	kɐn35	锦 锦绣
禁	kɐn33	禁 禁止
急	kɐt055	急 急忙
級	kʰɐt055	级 年级
給	kʰɐt055	给 供给，给予
欽	jɐn55	钦 钦差
撳	kɐn22	揿 手用力捏住，往下按
泣	ŋɐt055	泣 哭泣
琴	kʰɐm21	琴 弹琴
禽	kʰɐm21	禽 家禽
擒	kʰɐm21	擒 擒拿
妗	kʰɐn55	妗 舅母
及	kɐt022	及 及时
吟	ŋɐn21	吟 吟诗
吸	kʰɐt055	吸 呼吸
音	jɐn55	音 音乐
陰	jɐn55	阴 阴天
飮	jɐm35	饮 米汤（名）
飮	jɐm35	饮 饮酒（动）
蔭	jɐn55	荫 屋子很荫
揖	jɐt055	揖 作揖
