#漢字	音標	解釋
多	tɔ453	多：多少
泡	pʰau453	泡：水泡；身体上发出的水泡
跑	pʰau33	跑：跑步
刨	pʰau35	刨：刨地，挖掘
鮑	pau453	鲍：鲍鱼
鉋	pʰau13	刨：刨子，瓜刨
茅	mau31	茅：茅草
貓	miau453	猫：花猫
錨	miu13	锚：抛锚
卯	mau13	卯：子丑寅卯
貌	mɐu31	貌：礼貌
鬧	nau31	闹：热闹
罩	tʃau33	罩：灯罩
抓	tʃa453	抓：抓牌
爪	ȵiau35	爪：脚爪
找	tʃau35	找：找东西
抄	tʃʰau453	抄：抄书
鈔	tʃʰau453	钞：钞票
炒	tʃʰau35	炒：炒股
吵	tʃʰau35	吵：吵架
巢	tʃʰau13	巢：雀巢
梢	ʃau453	梢：树梢
稍	ʃau35	稍：稍等
潲	ʃau33	潲：猪食
哨	ʃau33	哨：口哨
交	kau453	交：交通
郊	kau453	郊：郊区
膠	kau453	胶：胶水
敎	kau33	教：教书
絞	kau35	绞：绞毛巾
狡	kau35	狡：狡猾
鉸	kau33	铰：铰剪
攪	kau35	搅：搅拌
搞	kau35	搞：搞好
敎	kau33	教：教育
校	kau33	校：上校
較	kau33	较：比较
酵	hau453	酵：发酵
窖	kau33	窖：地窖
覺	kau33	觉：睡觉
敲	hau453	敲：敲门
巧	hau35	巧：碰巧
咬	ŋau13	咬：咬人
哮	hau453	哮：哮喘
孝	hau33	孝：孝顺
肴	ŋau31	肴：佳肴
淆	ŋau35	淆：混淆
效	hau31	效：效果
校	kau33	校：校对
校	hau31	校：学校
坳	ʔau33	坳：山坳
膘	piu453	膘：肥膘
標	piu453	标：标志
表	piu35	表：表示
錶	piu453	表：手表
飄	pʰiu453	飘：飘扬
漂	pʰiu33	漂：漂白
票	pʰiu33	票：车票
漂	pʰiu33	漂：漂亮
嫖	pʰiu13	嫖：嫖妓
鰾	pʰiau453	鳔：鱼鳔（鱼泡）
苗	miu13	苗：火苗
描	miu31	描：描写
貓	miau453	猫：猫咪
藐	miu35	藐：藐视
渺	miu35	渺：渺小
秒	miu35	秒：一分一秒
廟	miu31	庙：庙会
妙	miu31	妙：妙计
燎	liu31	燎：火烧火燎
燎	liu31	燎：燎原
療	liu31	疗：治疗
焦	tʃiu453	焦：焦作
蕉	tʃiu453	蕉：香蕉
椒	tʃiu453	椒：辣椒
剿	tʃiu35	剿：围剿
醮	tʃiu33	醮：打醮
鍬	tʃʰiu453	锹：铁锹
悄	tʃʰiu35	悄：静悄悄
俏	tʃʰiu33	俏：娇俏
樵	tʃiu453	樵：打樵，樵夫
瞧	tʃiu453	瞧：瞧一瞧
消	ɬiu453	消：消化
宵	ɬiu453	宵：良宵
霄	ɬiu453	霄：云霄
硝	ɬiu453	硝：硝酸
銷	ɬiu453	销：供销社
小	ɬiu35	小：大小
笑	ɬiu33	笑：笑话
鞘	ɬiu33	鞘：刀鞘
肖	ɬiu453	肖：姓
肖	tʃʰiu33	肖：生肖
朝	tʃʰiu31	朝：朝代
超	tʃʰiu453	超：超过
朝	tʃiu453	朝：今朝
潮	tʃʰiu31	潮：潮水
趙	tʃiu31	赵：赵国；姓
兆	tʃiu31	兆：人名用字；预兆
召	tʃiu31	召：号召
昭	tʃʰiu453	昭：王昭君
招	tʃiu453	招：招手
沼	tʃiu35	沼：沼气
照	tʃiu33	照：照明
詔	tʃiu31	诏：诏书
燒	ʃiu453	烧：发烧
少	ʃiu35	少：多少
少	ʃiu33	少：少年，少爷
韶	ʃiu31	韶：韶关
紹	ʃiu13	绍：介绍
邵	tʃiu31	邵：姓
饒	ȵiu13	饶：求饶
擾	ȵiu35	扰：打扰
繞	ȵiu35	绕：绕线团
繞	ȵiu35	绕：围绕
驕	kiu453	骄：骄傲
嬌	kiu453	娇：撒娇
矯	kʰiu31	矫：矫正
喬	kʰiu31	乔：姓
僑	kʰiu13	侨：华侨
橋	kʰiu13	桥：桥梁
轎	kiu31	轿：抬轿
囂	hiu453	嚣：嚣张
妖	iu453	妖：妖怪
邀	iu453	邀：邀请
腰	iu453	腰：腰疼
要	iu453	要：要求
要	iu33	要：重要
搖	iu31	摇：摇篮
謠	iu13	谣：民谣
窑	iu13	窑：官窑
姚	iu31	姚：姓
舀	iu35	舀：舀水
耀	iu31	耀：照耀
鷂	iu35	鹞：纸鹞
刁	tiu453	刁：嘴刁
貂	tiu453	貂：貂皮
雕	tiu453	雕：雕刻
鳥	niau13	鸟：小鸟
釣	tiu33	钓：钓鱼
吊	tiu33	吊：上吊
挑	tʰiu453	挑：挑选
跳	tʰiu33	跳：跳高，跳起来
糶	tʰiu33	粜：粜米（卖米）
條	tʰiu31	条：条件
調	tiu31	调：调动
掉	tiu31	掉：走掉
調	tiu31	调：调和
調	tiu31	调：音调，高调
尿	niau31	尿：撒尿
聊	liu31	聊：聊天
遼	liu31	辽：辽宁
撩	liau31	撩：撩起来
寥	liu31	寥：寥寥无几
寮	liau453	寮：竹寮，茶寮
了	liu31	了：了结
瞭	liu31	瞭：瞭望
料	liu31	料：肥料
蕭	ɬiu453	萧：姓
簫	ɬiu453	箫：吹箫
澆	ȵiu13	浇：浇花
繳	kiu35	缴：上缴
僥	hiu453	侥：侥幸
叫	kiu33	叫：大叫
竅	kʰiu33	窍：窍门
堯	ȵiu13	尧：尧舜禹
曉	hiu35	晓：晓得
杳	miu35	杳：杳无音讯
剖	pʰɐu35	剖：解剖
某	mɐu13	某：某人
畝	mɐu13	亩：一亩田
牡	mau31	牡：牡丹
母	mu13	母：母亲
拇	mu35	拇：拇指
戊	mu31	戊：戊戌变法
茂	mɐu31	茂：茂盛
貿	mɐu31	贸：外贸
兜	tɐu453	兜：兜风
斗	tɐu35	斗：十升为斗
陡	tɐu35	陡：陡峭
鬥	tɐu33	斗：斗争
偸	tʰɐu453	偷：偷东西
㪗	tʰɐu35	敨：敨开，敨气
透	tʰɐu33	透：透明
頭	tʰɐu13	头：头发
投	tʰɐu31	投：投降
豆	tɐu31	豆：豆芽
逗	tɐu31	逗：逗号
痘	tɐu31	痘：水痘
樓	lɐu13	楼：上楼
簍	lɐu35	篓：竹篓
摟	lɐu35	搂：搂抱
漏	lɐu31	漏：漏雨
陋	lɐu31	陋：简陋
走	tʃɐu35	走：行走
奏	tʃɐu33	奏：节奏
湊	tʃʰɐu33	凑：凑数
叟	ɬou35	叟：童叟无欺
嗽	ɬɐu33	嗽：咳嗽
勾	ŋɐu453	勾：勾当
鉤	ŋɐu453	钩：鱼钩
溝	kɐu453	沟：沟通
狗	kɐu35	狗：小狗
苟	kɐu35	苟：苟且偷生
垢	kɐu31	垢：污垢
够	kɐu33	够：足够
構	kɐu33	构：结构
購	kɐu33	购：购买
勾	ŋɐu453	勾：勾引
摳	ŋɐu33	抠：抠出来
口	hɐu35	口：门口
叩	kʰɐu33	叩：叩头
扣	kʰɐu33	扣：扣钱
寇	kʰɐu33	寇：倭寇
藕	ŋɐu13	藕：莲藕
偶	ŋɐu13	偶：偶然
偶	ŋɐu13	偶：配偶
侯	hɐu13	侯：诸侯
喉	hɐu31	喉：喉咙
猴	hɐu13	猴：猴子
後	hɐu31	后：后来
厚	hɐu13	厚：忠厚
后	hɐu31	后：皇后
候	hɐu31	候：等候
歐	ʔɐu453	欧：欧洲
甌	ʔɐu453	瓯：瓯江
嘔	ʔɐu35	呕：呕吐
毆	ʔɐu35	殴：殴打
漚	ʔɐu33	沤：久浸水中（沤肥）
慪	ʔɐu33	怄：怄气
否	fɐu35	否：否定
富	fu33	富：富贵
副	fu33	副：正副（副省长）
浮	fɐu35	浮：浮动；轻浮
婦	fu13	妇：妇女
負	fu31	负：负担
復	fok055	复：复兴
謀	mɐu13	谋：阴谋
矛	mau31	矛：矛盾
紐	nɐu13	纽：纽扣
扭	nɐu13	扭：扭动
流	lɐu13	流：流动
劉	lɐu13	刘：姓
留	lɐu13	留：留下
榴	lɐu13	榴：石榴
硫	lɐu31	硫：硫磺
琉	lɐu13	琉：琉璃
柳	lɐu35	柳：柳树
溜	lɐu31	溜：溜走
餾	lɐu31	馏：蒸馏水
廖	liu31	廖：姓
揪	tʃʰɐu453	揪：揪头发
酒	tʃɐu35	酒：酒精
秋	tʃʰɐu453	秋：秋千
秋	tʃʰɐu453	秋：秋天
鰍	nɐu453	鳅：泥鳅
就	tʃɐu31	就：成就
修	ɬɐu453	修：修理
羞	ɬɐu453	羞：害羞
秀	ɬɐu33	秀：清秀
繡	ɬɐu33	绣：绣花
宿	ɬok055	宿：宿舍
銹	ɬɐu33	锈：生锈
囚	tʃʰɐu31	囚：囚犯
袖	tʃɐu31	袖：领袖
肘	tʃau35	肘：手肘，肘子
晝	tʃɐu33	昼：日昼
抽	tʃʰɐu453	抽：抽出
丑	tʃʰɐu35	丑：子丑寅卯
綢	tʃʰɐu13	绸：丝绸
稠	tʃʰɐu31	稠：稠密
籌	tʃʰɐu31	筹：筹备
紂	tʃʰɐu13	纣：商纣王
宙	tʃɐu31	宙：宇宙
鄒	tʃau453	邹：姓
皺	ȵiɐu33	皱：皱纹
愁	ʃɐu13	愁：发愁
驟	tʃau31	骤：步骤
搜	ɬɐu35	搜：搜查，搜身
餿	ʃɐu453	馊：饭馊了
蒐	ɬɐu35	搜：搜集
瘦	ʃɐu33	瘦：瘦小
漱	ɬu33	漱：漱口
周	tʃɐu453	周：姓；周围
舟	tʃɐu453	舟：舟山
州	tʃɐu453	州：杭州
洲	tʃɐu453	洲：亚洲
帚	tʃau35	帚：扫帚
咒	tʃɐu33	咒：咒人
醜	tʃʰɐu35	丑：丑陋
臭	tʃʰɐu33	臭：香臭
收	ʃɐu453	收：秋收，收集
手	ʃɐu35	手：手段
首	ʃɐu35	首：首都
守	ʃɐu35	守：保守
獸	ʃɐu33	兽：野兽
仇	ʃɐu13	仇：报仇
酬	tʃʰɐu13	酬：报酬
受	ʃɐu31	受：接受
壽	ʃɐu31	寿：寿星
授	ʃɐu31	授：教授
售	tʃʰɐu13	售：出售
柔	iɐu13	柔：温柔
揉	iɐu31	揉：揉眼睛，揉面团
鳩	kɐu453	鸠：斑鸠
鬮	kɐu453	阄：抓阄
糾	tɐu35	纠：纠缠
九	kɐu35	九：第九
久	kɐu35	久：长久
韭	kɐu35	韭：韭菜
灸	kɐu33	灸：针灸
救	kɐu33	救：救命
究	kɐu33	究：研究
丘	iɐu453	丘：姓
求	kʰɐu13	求：要求
球	kʰɐu13	球：地球
仇	ʃɐu13	仇：姓
臼	kʰɐu13	臼：脱臼
舅	kʰɐu13	舅：舅舅，舅父
咎	kɐu33	咎：咎由自取
舊	kɐu31	旧：新旧
柩	kɐu33	柩：灵柩
牛	ŋɐu13	牛：吹牛
休	hɐu453	休：休息(土）
朽	ȵiɐu35	朽：腐朽
嗅	tʃʰɐu33	嗅：嗅觉
憂	iɐu453	忧：担忧
優	iɐu453	优：优秀
尤	iɐu13	尤：尤其
郵	iɐu31	邮：邮票
有	iɐu13	有：有无
友	iɐu13	友：朋友
又	iɐu31	又：又一次
右	iɐu31	右：左右
佑	iɐu31	佑：保佑
由	iɐu13	由：理由
油	iɐu13	油：花生油
游	iɐu13	游：旅游
猶	iɐu13	犹：犹豫
悠	iɐu453	悠：悠闲
酉	iɐu13	酉：地支第十
誘	iɐu33	诱：引诱
柚	iɐu35	柚：柚子
釉	iɐu31	釉：釉彩
彪	piu453	彪：林彪
謬	mɐu31	谬：谬论
丟	tiu453	丢：丢失
糾	tɐu35	纠：纠正
幽	iɐu453	幽：幽默
幼	iɐu33	幼：幼稚
耽	tam453	耽：耽误
答	tap033	答：回答
搭	tap033	搭：搭车，衣服搭在肩上
貪	tʰam453	贪：贪心
探	tʰam33	探：探路
踏	tap022	踏：脚踏
拓	tʰɔ33	拓：拓本
潭	tʰam13	潭：湘潭
譚	tʰam13	谭：姓
沓	tap022	沓：一沓纸
南	nam13	南：南方
男	nam13	男：男人
納	nap022	纳：出纳
拉	la453	拉：拖拉
參	tʃʰam453	参：参加
慘	tʃʰam35	惨：悲惨
蠶	tʃʰam13	蚕：蚕丝
雜	tʃap022	杂：复杂
感	kɔm35	感：感谢
合	hɔp022	合：合作
蛤	kɔp033	蛤：蛤蜊，花蛤
鴿	kɔp033	鸽：鸽子
堪	hɔm453	堪：难堪
坎	hɔm33	坎：坎坷
砍	hɔm35	砍：砍柴
勘	hɔm33	勘：勘探
喝	hu̯ɔt033	喝：喝彩
含	hɔm13	含：包含
函	hɔm31	函：信函
撼	hɔm31	撼：震撼
憾	hɔm31	憾：遗憾
合	kɔp033	合：十合一升
盒	hɔp022	盒：盒子
庵	ʔɔm453	庵：尼姑庵
揞	ʔɐm35	揞：揞住
暗	ʔɔm33	暗：黑暗
擔	tam453	担：担任（动）
膽	tam35	胆：胆小
擔	tam33	担：挑担（名）
塔	tʰap033	塔：一座塔
遢	tʰat033	遢：邋遢
塌	tʰap033	塌：倒塌
談	tʰam13	谈：谈话
痰	tʰam13	痰：吐痰
淡	tʰam13	淡：咸淡；浓淡
藍	lam13	蓝：蓝色
籃	lam453	篮：篮子
覽	lam35	览：阅览
攬	lam35	揽：包揽
欖	lam35	榄：橄榄
濫	lam31	滥：泛滥
纜	lam35	缆：缆绳，缆车
臘	lap022	腊：腊肉
蠟	lap022	蜡：蜡烛
慚	tʃʰam31	惭：惭愧
暫	tʃam31	暂：暂时
三	ɬam453	三：第三
甘	kɔm453	甘：甘蔗
柑	kɔm453	柑：芦柑
敢	kɔm35	敢：勇敢
橄	kɔm453	橄：橄榄
喊	ham33	喊：叫喊
站	tʃam31	站：站立
劄	tʃap033	扎：针扎
賺	tʃan31	赚：赚钱
站	tʃam31	站：车站
斬	tʃam35	斩：刀斩
拈	niam453	拈：拈花惹草
念	nim31	念：想念
兼	kim453	兼：兼职
挾	kiap022	挟：挟菜
謙	him453	谦：谦虚
拾	ʃap022	拾：拾金不昧
壬	ȵiɐm31	壬：天干第九
任	ȵiɐm31	任：姓
任	ȵiɐm31	任：责任
紝	iɐn31	纴：缝纴
入	iap022	入：进入
今	kɐm453	今：今天
金	kɐm453	金：金银
禁	kɐm33	禁：禁不住
襟	kʰɐm453	襟：连襟
錦	kɐm35	锦：锦绣
禁	kɐm33	禁：禁止
急	kap055	急：急忙
級	kʰap055	级：年级
給	kap055	给：供给
欽	hɐm453	钦：钦差
撳	kɐm31	揿：手用力捏住，往下按
泣	hap055	泣：哭泣
琴	kʰɐm13	琴：弹琴
禽	kʰɐm13	禽：家禽
擒	kʰɐm13	擒：擒拿
及	kap022	及：及时
吟	ȵiɐm13	吟：吟诗
吸	kʰap055	吸：呼吸
音	iɐm453	音：音乐
陰	iɐm453	阴：阴天
飮	ȵiɐm35	饮：米汤（名）
飮	ȵiɐm35	饮：饮酒（动）
蔭	iɐm33	荫：屋子很荫
揖	iap055	揖：作揖
淫	iɐm13	淫：淫荡
單	tan453	单：单独
丹	tan453	丹：人丹
疸	tʰan35	疸：黄疸
旦	tan33	旦：元旦
灘	tʰan453	滩：沙滩
攤	tʰan453	摊：摊开
癱	tʰan453	瘫：瘫痪
坦	tʰan35	坦：坦白
嘆	tʰan33	叹：叹气
炭	tʰan33	炭：木炭
獺	lai33	獭：水獭
彈	tʰan13	弹：弹琴
檀	tʰan31	檀：檀香
壇	tʰan13	坛：天坛
誕	tan33	诞：诞生
彈	tan31	弹：子弹
但	tan31	但：但是
蛋	tan31	蛋：鸡蛋
達	tat022	达：达到
難	nan13	难：很难
難	nan31	难：患难
捺	nat022	捺：撇捺
蘭	lan31	兰：兰花
攔	lan13	拦：拦住
欄	lan453	栏：猪栏
懶	lan13	懒：懒惰
爛	lan31	烂：腐烂
辣	lat022	辣：泼辣；辣椒
瘌	lai33	瘌：瘌痢
贊	tʃan33	赞：赞助
餐	tʃʰan453	餐：快餐
燦	tʃʰan33	灿：灿烂
擦	tʃʰat033	擦：擦洗
殘	tʃʰan31	残：残疾
珊	ʃan453	珊：珊瑚
散	ɬan33	散：分散
傘	ɬan33	伞：雨伞
散	ɬan33	散：松散
撒	ɬat033	撒：撒手，撒种
薩	ɬat033	萨：菩萨
干	ku̯ɔn453	干：天干地支
乾	ku̯ɔn453	干：干湿
竿	ku̯ɔn453	竿：竹竿
肝	ku̯ɔn453	肝：猪肝
桿	ku̯ɔn453	杆：枪杆
稈	ku̯ɔn35	秆：禾秆
趕	ku̯ɔn35	赶：赶走
幹	ku̯ɔn33	干：干部
割	ku̯ɔt033	割：收割
葛	ku̯ɔt033	葛：诸葛亮
看	hu̯ɔn33	看：看见
看	hu̯ɔn453	看：看牛 ，看猪
刊	hu̯ɔn35	刊：报刊
看	hu̯ɔn33	看：看守
渴	hu̯ɔt033	渴：口渴
岸	ŋu̯ɔn31	岸：口岸
鼾	hu̯ɔn13	鼾：鼾声
罕	hu̯ɔn35	罕：罕见
漢	hu̯ɔn33	汉：汉族
喝	hu̯ɔt033	喝：喝酒
寒	hu̯ɔn13	寒：寒冷
韓	hu̯ɔn31	韩：韩国
旱	hu̯ɔn13	旱：干旱
焊	hu̯ɔn31	焊：电焊
汗	hu̯ɔn31	汗：出汗
翰	hu̯ɔn31	翰：翰林；人名用字
安	ʔu̯ɔn453	安：安全
鞍	ʔu̯ɔn453	鞍：马鞍
按	ʔu̯ɔn33	按：按照
案	ʔu̯ɔn33	案：档案
扮	pan31	扮：打扮
八	pat033	八：第八
盼	pʰan33	盼：盼望
辦	pan31	办：办法
瓣	pan31	瓣：花瓣
拔	pat022	拔：选拔
抹	mut033	抹：抹布
盞	tʃan35	盏：灯盏
札	tʃat033	札：札记
紮	tʃat033	扎：驻扎
鏟	tʃʰan35	铲：铲草
察	tʃʰat033	察：观察
山	ʃan453	山：山顶
產	tʃʰan35	产：生产
殺	ʃat033	杀：自杀
煞	ʃat033	煞：凶神恶煞；煞费苦心
艱	kan453	艰：艰苦
間	kan33	间：间断
簡	kan35	简：简单
柬	kan35	柬：请柬
揀	kan35	拣：拣菜
間	kan453	间：中间
眼	ŋan13	眼：眼镜
閑	han13	闲：空闲
限	han31	限：限制
莧	hin31	苋：苋菜
軋	tʃat033	轧：被车轧；轧钢厂
班	pan453	班：班级
斑	pan453	斑：雀斑
頒	pan453	颁：颁布
扳	pan453	扳：扳手，枪的扳机
板	pan35	板：石板
版	pan35	版：出版
攀	pʰan453	攀：高攀
蠻	man13	蛮：野蛮
慢	man31	慢：快慢
棧	tʃan31	栈：客栈
鍘	tʃap022	铡：铡刀
刪	ʃan453	删：删除
疝	ʃan33	疝：疝气
奸	kan453	奸：奸臣
諫	kan35	谏：谏议
澗	kan35	涧：山涧
顏	ŋan31	颜：颜色
雁	ŋan31	雁：大雁
瞎	hat022	瞎：瞎子
轄	hat022	辖：管辖
晏	ʔan33	晏：天晚
鞭	pin453	鞭：皮鞭
編	pʰen453	编：编辑
變	pin33	变：改变
別	pit022	别：分别
鱉	pit033	鳖：甲鱼
篇	pʰen453	篇：一篇
偏	pʰen453	偏：偏僻
騙	pʰen33	骗：欺骗
便	pin31	便：便宜
辨	pin31	辨：分辨
辯	pin31	辩：辩论
汴	pin31	汴：汴梁
便	pin31	便：方便
別	pit022	别：区别
綿	min13	绵：海绵
棉	min13	棉：棉花
免	min13	免：免除
勉	min13	勉：勉强
娩	min35	娩：分娩
緬	min13	缅：缅甸
面	min31	面：面子
滅	mit022	灭：消灭
碾	tʃin35	碾：碾米
連	lin31	连：大连；连长
聯	lyn13	联：联系；对联
列	lit022	列：排列
裂	let022	裂：分裂(白）
烈	lit022	烈：烈士
煎	tʃin453	煎：煎药
剪	tʃin35	剪：铰剪
箭	tʃin33	箭：射箭
濺	tʃin31	溅：溅水
遷	tʃʰin453	迁：迁移
淺	tʃʰin35	浅：深浅
錢	tʃʰin13	钱：钱财
踐	tʃin31	践：实践
賤	tʃin31	贱：犯贱
餞	tʃin31	饯：饯行
仙	ɬin453	仙：神仙
鮮	ɬin453	鲜：新鲜
鮮	ɬin453	鲜：朝鲜；鲜有
癬	ɬyn35	癣：脚癣
綫	ɬin33	线：线索
薛	ɬyt033	薛：姓
泄	ɬit033	泄：泄漏，排泄
涎	ʃan13	涎：流下的口水
羡	ɬyn31	羡：羡慕
展	tʃin35	展：发展
哲	tʃit033	哲：哲学
蜇	tʃit033	蜇：蝎子蜇人；海蜇
徹	tʃʰyt033	彻：彻底
撤	tʃʰyt033	撤：撤退
纏	tʃʰin13	缠：纠缠
轍	tʃʰyt033	辙：南辕北辙
氈	tʃin453	毡：油毛毡
戰	tʃin33	战：战斗
折	tʃit033	折：折断；折扣
浙	tʃit033	浙：浙江
舌	ʃit022	舌：舌头
扇	ʃin33	扇：扇子（名）
設	tʃʰyt033	设：设计
蟬	ʃim13	蝉：蝉蜕，知了
禪	ʃim13	禅：禅让
善	ʃyn31	善：善良
鱔	ʃyn13	鳝：鳝鱼，黄鳝
單	ʃim31	单：姓
膳	ʃyn13	膳：膳食
禪	ʃim31	禅：禅宗
折	ʃit022	折：折本
然	in13	然：居然
燃	in13	燃：燃烧
熱	ȵit022	热：热烈
遣	hin33	遣：遣责
乾	kʰyn13	乾：乾坤
虔	kʰyn13	虔：虔诚
件	kin31	件：一件
傑	kit022	杰：杰出
諺	in31	谚：谚语
孽	nip022	孽：作孽
焉	in13	焉：心不在焉
延	in13	延：延安
筵	in33	筵：筵席
演	in13	演：演出
建	kin33	建：建设
揭	kʰit033	揭：揭发(文）
鍵	kin31	键：关键
健	kin31	健：健康
腱	kin31	腱：肌腱
竭	kit022	竭：竭尽全力
言	ȵin13	言：语言
軒	hin453	轩：人名用字（轩辕）
掀	hin453	掀：掀开
憲	hin33	宪：宪法
獻	hyn33	献：贡献
歇	kʰit033	歇：歇一下
蝎	kʰit033	蝎：蝎子
堰	im35	堰：都江堰
邊	pin453	边：旁边
蝙	pʰen453	蝙：蝙蝠
扁	pen35	扁：扁担
匾	pen35	匾：牌匾
遍	pʰen33	遍：遍地
遍	pʰen33	遍：一遍
憋	pit033	憋：憋气，憋尿
片	pʰen33	片：片面
片	pʰen33	片：量词
撇	pʰit033	撇：撇开
辮	pin453	辫：辫子
眠	min13	眠：安眠
麵	min31	面：面条
篾	mit022	篾：竹篾
顚	tin453	颠：颠倒
癲	tin453	癫：癫狗
典	tin35	典：词典
天	tʰin453	天：晴天
腆	tin35	腆：腼腆
鐵	tʰit033	铁：钢铁
田	tʰin13	田：田地
塡	tʰin13	填：填空
電	tin31	电：电灯
殿	tin31	殿：殿堂
奠	tin31	奠：奠基
佃	tin31	佃：佃户
墊	tin33	垫：垫钱；座垫
年	nin13	年：过年
撚	nen13	捻：以指捻碎；捻线
捏	nip022	捏：捏紧
憐	lin13	怜：可怜
蓮	lin31	莲：莲花
練	lin31	练：练习
楝	lin31	楝：苦楝树
鏈	lin31	链：项链
箋	tʃin453	笺：信笺
薦	tʃin33	荐：推荐
節	tʃit033	节：节约
千	tʃʰin453	千：千万
切	tʃʰyt033	切：切开
前	tʃʰin31	前：从前
截	tʃit022	截：截断
先	ɬin453	先：先进
屑	ɬit033	屑：不屑一顾（动）
屑	ɬit033	屑：木屑（名）
肩	kin453	肩：肩膀
堅	kin453	坚：坚强
繭	kan35	茧：蚕茧
趼	kan35	趼：老茧（手脚掌上）
見	kin33	见：见识
結	kit033	结：结果
潔	kit033	洁：清洁
牽	hin453	牵：牵牛花
硏	ŋen31	研：研究
硯	in31	砚：砚台
顯	hin35	显：明显
賢	in31	贤：贤惠
弦	in13	弦：琴弦
現	in31	现：出现
煙	in453	烟：香烟
燕	in33	燕：燕京；姓
燕	in33	燕：燕子
嚥	it033	咽：咽下去
宴	in33	宴：宴会
般	pun453	般：一般
搬	pun453	搬：搬家
半	pun33	半：半天
絆	pun31	绊：绊倒
缽	put033	钵：衣钵
撥	put033	拨：拨款
潘	pʰun453	潘：姓
拼	pʰeŋ33	拼：拼命
判	pʰun33	判：审判
潑	pʰut033	泼：泼水
盤	pʰun13	盘：算盘
伴	pun31	伴：伙伴
拌	pun31	拌：搅拌
叛	pun31	叛：叛徒
瞞	mun13	瞒：隐瞒
饅	man31	馒：馒头
鰻	man31	鳗：鳗鱼
滿	mun13	满：满意，装满
漫	man31	漫：漫画
幔	man31	幔：幔帐
末	mut022	末：末尾
沫	mut022	沫：泡沫
抹	mut033	抹：抹布
端	tyn453	端：端午
短	tyn35	短：长短
斷	tʰyn13	断：断绝，线断了
鍛	tyn31	锻：锻炼
脫	tʰyt033	脱：摆脱
團	tʰyn31	团：团结
糰	tʰyn31	团：糕团
斷	tyn33	断：决断，断案
段	tyn31	段：阶段
緞	tyn31	缎：绸缎
椴	tyn31	椴：椴木
奪	tyt022	夺：夺权
暖	nyn13	暖：暖和
鸞	lyn31	鸾：鸾凤
卵	lyn13	卵：鸡卵（鸡蛋）
亂	lyn31	乱：混乱
捋	lyt022	捋：捋袖
鑽	tʃyn33	钻：电钻（名）
鑽	tʃyn33	钻：钻洞（动）
竄	tʃʰyn35	窜：东窜西窜
撮	tʃyt033	撮：一撮胡子
酸	ɬyn453	酸：酸味
算	ɬyn33	算：计算
蒜	ɬyn33	蒜：蒜头
官	kun453	官：当官
棺	kun453	棺：棺材
觀	kun453	观：参观
冠	kun33	冠：冠军
管	kun35	管：管理
館	kun35	馆：图书馆
貫	kun33	贯：贯彻
灌	kun33	灌：灌溉
罐	kun33	罐：罐头
觀	kun33	观：道观
冠	kun453	冠：衣冠
括	kʰut033	括：包括
寬	fun453	宽：宽敞
款	fun35	款：汇款
闊	fut033	阔：开阔
玩	wan13	玩：玩具，游玩
歡	fun453	欢：喜欢
喚	wun31	唤：呼唤
煥	wun31	焕：焕然一新
豁	kʰɔk033	豁：豁然，豁嘴
桓	fun13	桓：齐桓公
完	yn13	完：完全
丸	yn13	丸：药丸
緩	wun31	缓：迟缓
皖	wun35	皖：皖南事变
換	wun31	换：交换
活	wut022	活：生活
豌	wun35	豌：豌豆
碗	wun35	碗：饭碗
腕	wun35	腕：手腕
鰥	kwan453	鳏：鳏夫
頑	ŋan31	顽：顽皮
幻	wan31	幻：幻想
滑	wat022	滑：滑稽
猾	wat022	猾：狡猾
挖	wat033	挖：挖地(文）
篡	ʃan33	篡：篡位
刷	ʃat033	刷：牙刷
關	kwan453	关：关门
慣	kwan33	惯：习惯
亮	liaŋ31	亮：天亮
諒	liaŋ31	谅：原谅
輛	liaŋ35	辆：车辆
量	liaŋ31	量：数量
略	liak022	略：战略
掠	liak022	掠：掠夺
將	tʃiaŋ33	将：大将
漿	tʃiaŋ453	浆：浆糊
鯽	tʃek055	鲫：鲫鱼
息	ɬek055	息：休息
熄	ɬek055	熄：熄灭
媳	ɬek055	媳：媳妇
徵	tʃeŋ453	征：征求
澄	kʰeŋ13	澄：水浑，澄一澄
懲	tʃʰeŋ31	惩：惩罚
橙	tʃʰɐŋ13	橙：橙子
瞪	tɐŋ453	瞪：瞪眼
直	tʃek022	直：直接
値	tʃek022	值：价值
側	tʃʰak055	侧：侧面
測	tʃʰak055	测：测量
惻	tʃʰak055	恻：恻隐之心
色	ʃek055	色：色彩
嗇	ɬek055	啬：吝啬
蒸	tʃeŋ453	蒸：蒸发
拯	ʃeŋ31	拯：拯救
證	tʃeŋ33	证：证明
症	tʃeŋ33	症：病症
織	tʃek055	织：织布
職	tʃek055	职：职务
稱	tʃʰeŋ453	称：称呼；称重量
稱	tʃʰeŋ453	称：相称，称心
秤	tʃʰeŋ33	秤：一杆秤
乘	ʃeŋ13	乘：乘法
繩	ʃeŋ13	绳：麻绳
剩	ʃeŋ31	剩：剩余
食	ʃek022	食：食物
蝕	ʃek022	蚀：月蚀，腐蚀
升	ʃeŋ453	升：升级
勝	ʃeŋ33	胜：胜败，战胜
勝	ʃeŋ33	胜：胜任
識	ʃek055	识：认识
式	ʃek055	式：式样
飾	ʃek055	饰：装饰
