#漢字	音標	解釋
多	to55	多 多少
利	lei21	利 有利
痢	lei21	痢 痢疾
資	tʃi55	资 资本
姿	tʃi55	姿 姿势
咨	tʃi55	咨 咨询
姊	tʃi35	姊 姊妹
次	tʃʰi33	次 名次
瓷	tʃʰi21	瓷 陶瓷
糍	tʃʰi21	糍 糍粑；糯米糍
自	tʃi21	自 自己
私	ʃi55	私 自私
死	ɬei35	死 死亡
四	ɬei33	四 四个
肆	ɬei33	肆 放肆
致	tʃi33	致 导致
遲	tʃʰi21	迟 迟到
稚	tʃʰi55	稚 幼稚
師	ʃi55	师 老师
獅	ʃi55	狮 狮子
脂	tʃi55	脂 脂肪
旨	tʃi35	旨 奉旨
指	tʃi35	指 手指
至	tʃi33	至 至少
示	ʃi33	示 启示
尸	ʃi55	尸 死尸
矢	tʃʰi35	矢 有的放矢
屎	ʃi35	屎 狗屎
視	ʃi21	视 近视
嗜	ʃi21	嗜 嗜好
二	ȵi21	二 第二
貳	ȵi21	二 二心
飢	kei55	饥 饥饿
肌	kei55	肌 肌肉
几	kei55	几 茶几
冀	kʰɐi33	冀 河北简称；希冀
器	hei33	器 武器
棄	hei33	弃 放弃
祁	kʰei21	祁 祁连山
伊	i55	伊 伊犁
夷	i21	夷 化险为夷
姨	i55	姨 阿姨
姨	i55	姨 姨丈
肄	i13	肄 肄业
你	nei13	你 你们
厘	lei21	厘 厘米
狸	lei21	狸 狐狸
李	lei13	李 姓
里	lei13	里 公里
裏	lei13	里 里面
理	lei13	理 道理
鯉	lei13	鲤 鲤鱼
吏	lei21	吏 官吏
兹	tʃi55	兹 公文用语
滋	tʃi55	滋 滋润
子	tʃi35	子 孔子；子孙
梓	tʃi35	梓 桑梓
慈	tʃʰi21	慈 慈悲
磁	tʃʰi21	磁 磁铁
字	tʃi21	字 文字
司	ʃi55	司 公司
絲	ʃi55	丝 丝绸
思	ʃi55	思 思念
伺	ʃi21	伺 伺机应变
思	ʃi55	思 意思
辭	tʃʰi21	辞 告辞
詞	tʃʰi21	词 歌词
祠	tʃʰi21	祠 祠堂
似	tʃʰi13	似 相似
祀	tʃʰi13	祀 祭祀
巳	ʃi33	巳 地支第六
寺	ʃi21	寺 寺庙
嗣	tʃʰi21	嗣 后嗣
飼	tʃʰi21	饲 饲养
置	tʃi33	置 布置
癡	tʃʰi55	痴 痴呆
恥	tʃʰi35	耻 耻辱
持	tʃʰi21	持 坚持
痔	ʃi21	痔 痔疮
治	tʃi21	治 治安
滓	tʃɔi35	滓 渣滓
廁	tʃʰi33	厕 厕所
士	ʃi21	士 士兵
仕	ʃi21	仕 仕途
柿	ʃi33	柿 柿子
事	ʃi21	事 事情
使	ʃɐi35	使 大使馆
使	ʃɐi35	使 使用
史	ʃi35	史 历史
駛	ʃɐi35	驶 驾驶
之	tʃi55	之 之前
芝	tʃi55	芝 灵芝
止	tʃi35	止 停止
趾	tʃi35	趾 脚趾
址	tʃi35	址 地址
志	tʃi33	志 志气
誌	tʃi33	志 标志
痣	tʃi33	痣 与胎记不同
嗤	tʃʰi55	嗤 嗤笑
齒	tʃʰi35	齿 牙齿
詩	ʃi55	诗 诗人
始	tʃʰi35	始 开始
試	ʃi33	试 考试
時	ʃi21	时 时间
市	ʃi13	市 市场
恃	tʃʰi21	恃 有恃无恐，自恃
侍	ʃi21	侍 服侍
而	ȵi21	而 而且
耳	ȵi13	耳 耳朵
基	kei55	基 基本
箕	kei55	箕 粪箕
己	kei35	己 自己
紀	kei35	纪 纪律
紀	kei33	纪 纪念
記	kei33	记 记号
欺	hei55	欺 欺负
起	hei35	起 起床
杞	kei35	杞 枸杞
其	kʰei21	其 其他
棋	kʰei21	棋 下棋
期	kʰei21	期 日期
旗	kʰei21	旗 红旗
忌	kei21	忌 禁忌
疑	ȵi21	疑 怀疑
擬	ȵi35	拟 拟人
嬉	hei13	嬉 嬉戏
煕	hei55	熙 康熙
喜	hei35	喜 喜欢
醫	i55	医 医生
意	i33	意 大意
飴	i21	饴 饴糖
已	i13	已 已经
以	i55	以 可以
異	i21	异 异同
幾	kei55	几 几乎
機	kei55	机 机器
譏	kei55	讥 讥笑
饑	kei55	饥 饥荒
幾	kei35	几 几个
既	kei33	既 既然
豈	hei35	岂 岂有此理
氣	hei33	气 空气
汽	hei33	汽 汽车
祈	kʰei21	祈 祈祷
毅	ŋɐi21	毅 毅力
希	hei55	希 希望
稀	hei55	稀 稀有
衣	i55	衣 衣服
依	i55	依 依靠
累	lui13	累 累积
累	lui13	累 连累
嘴	tʃui35	嘴 嘴巴
髓	ɬui13	髓 骨髓
隨	tʃʰui21	隨 随便
吹	tʃʰui55	吹 吹牛
炊	tʃʰui55	炊 炊烟
垂	ʃui21	垂 下垂
睡	ʃui21	睡 午睡
瑞	ɬui21	瑞 瑞雪
蕊	lui13	蕊 花蕊
規	kwʰɐi55	规 规矩
詭	kwɐi13	诡 诡计
虧	kwʰɐi55	亏 吃亏；亏本
窺	kwʰɐi55	窥 偷窥
跪	kwɐi21	跪 下跪
危	ŋɐi33	危 危险
僞	ŋɐi35	伪 虚伪
毀	fei35	毁 毁灭
萎	ʋɐi35	萎 枯萎
委	ʋɐi35	委 委托
爲	ʋɐi21	为 为什么
爲	ʋɐi21	为 行为
壘	lui13	垒 堡垒
類	lui21	类 分类
淚	lui21	泪 眼泪
醉	tʃui33	醉 喝醉
翠	tʃʰui33	翠 翡翠
雖	ɬui55	虽 虽然
粹	tʃʰui33	粹 纯粹
遂	ɬui21	遂 未遂
隧	ɬui21	隧 隧道
穗	ɬui21	穗 谷穗
追	tʃui55	追 追赶
槌	tʃui55	槌 棒槌
錘	tʃʰui21	锤 铁锤
墜	tʃui21	坠 下坠
衰	ʃui55	衰 衰老
摔	ɬɐt055	摔 摔跤
帥	ʃui33	帅 元帅
錐	tʃui21	锥 圆锥
水	ʃui35	水 水果
誰	ʃui21	谁 谁人
龜	kwɐi55	龟 乌龟
軌	kwɐi35	轨 铁轨
癸	kwʰɐi21	癸 天干第十
愧	kwʰɐi21	愧 惭愧
季	kwɐi33	季 四季
逵	kwʰɐi21	逵 李逵
葵	kwʰɐi21	葵 向日葵
櫃	kwɐi21	柜 柜台
位	ʋɐi21	位 地位
維	ʋɐi21	维 维持
惟	ʋɐi21	惟 惟一
遺	ʋɐi21	遗 遗失
唯	ʋɐi21	唯 唯有
非	fei55	非 非常
飛	fei55	飞 飞机
匪	fei35	匪 土匪
痱	pei55	痱 痱子，热痱
沸	fɐʔ022	沸 沸腾
妃	fei55	妃 贵妃
費	fei33	费 浪费
肥	fei21	肥 肥料
翡	fei35	翡 翡翠
微	mei21	微 细微
尾	mei35	尾 尾巴
未	mei21	未 未来
味	mei21	味 味道
歸	kwɐi55	归 回归
鬼	kwɐi35	鬼 鬼神
貴	kwɐi33	贵 贵客
魏	ŋɐi21	魏 魏国；姓
揮	fei55	挥 指挥
輝	fei55	辉 光辉
徽	fei55	徽 国徽
威	ʋei55	威 威风
畏	ʋɐi33	畏 畏罪
慰	ʋɐi33	慰 安慰
違	ʋei21	违 违背
圍	ʋei21	围 包围
偉	ʋei35	伟 伟大
葦	ʋei33	苇 芦苇
緯	ʋei35	纬 经纬
胃	ʋɐi21	胃 肠胃
謂	ʋɐi21	谓 所谓
蝟	ʋɐi21	猬 刺猬
匯	ʋui21	汇 汇报
褒	pou55	褒 褒奖
保	pou35	保 保护
堡	pou35	堡 碉堡
寶	pou35	宝 宝贝
報	pou33	报 报告；日报
袍	pʰou21	袍 长袍
抱	pʰou35	抱 拥抱
暴	pou21	暴 暴露
菢	pu21	菢 菢小鸡
毛	mou21	毛 毛笔
冒	mou21	冒 冒充
帽	mou21	帽 草帽
刀	tou55	刀 菜刀
禱	tʰou35	祷 祈祷
島	to35	岛 海岛
搗	tou35	捣 捣乱
倒	tou35	倒 打倒
到	tou33	到 来到
倒	tou35	倒 倒水
滔	tʰou55	滔 滔滔不绝
討	tʰou35	讨 讨好
套	tʰou33	套 配套
桃	tʰou21	桃 桃花
逃	tʰou21	逃 逃难
淘	tʰou21	淘 淘米
陶	tʰou21	陶 陶瓷
萄	tʰou21	萄 葡萄
濤	tʰou21	涛 波涛
道	tou21	道 道理
稻	tou21	稻 水稻
盜	tou21	盗 强盗
導	tou21	导 领导
腦	nou13	脑 大脑
惱	nou21	恼 恼火
勞	lou21	劳 劳动
撈	lou55	捞 打捞
撈	lou55	捞 捞钱，捞面
牢	lou21	牢 坐牢
老	lou13	老 老实
澇	lou21	涝 洪涝
遭	tʃou55	遭 遭殃
糟	tʃou55	糟 糟糕
早	tʃou35	早 早上
棗	tʃou35	枣 红枣
澡	tʃʰou33	澡 洗澡
躁	tʃʰou33	躁 暴躁
竈	tʃou33	灶 灶神
操	tʃʰou55	操 操作
草	tʃʰou35	草 青草
糙	tʃʰou33	糙 粗糙，糙米
曹	tʃʰou21	曹 阴曹
槽	tʃʰou21	槽 猪槽
皂	tʃou21	皂 肥皂；皂角
造	tʃou21	造 制造
騷	ɬou55	骚 风骚
臊	ɬou55	臊 羊臊气
掃	ɬou33	扫 扫把（名）
嫂	ɬou35	嫂 大嫂
掃	ɬou33	扫 扫地（动）
髙	kou55	高 跳高
膏	kou55	膏 牙膏；膏药
篙	kou55	篙 竹篙
羔	kou55	羔 羊羔
糕	kou55	糕 蛋糕
稿	kou35	稿 草稿
吿	kou33	告 报告
考	hau35	考 考试
烤	hau55	烤 烧烤
靠	kʰau33	靠 可靠
銬	kʰou33	铐 手铐
熬	ŋau33	熬 难熬
傲	ŋau33	傲 骄傲
好	hou35	好 好坏
好	hou33	好 爱好
耗	hou33	耗 消耗
毫	hou21	毫 毫厘
壕	hou21	壕 战壕
豪	hou21	豪 豪华
號	hou21	号 号叫，呼号（动）
浩	hou21	浩 浩荡
號	hou21	号 号码（名）
襖	ou33	襖 棉襖
懊	ou33	懊 懊恼
奧	ou33	奥 奥妙
懊	ou33	懊 懊悔
澳	ou33	澳 澳门
包	pau55	包 钱包
胞	pau55	胞 同胞
飽	pau35	饱 吃饱
豹	pʰau33	豹 一种动物
爆	pou21	爆 爆炸
泡	pʰau33	泡 泡茶
拋	pʰau55	抛 抛弃
炮	pʰau33	炮 枪炮
泡	pʰau33	泡 水泡，泡沫
跑	pʰau35	跑 跑步
刨	pʰau21	刨 刨地，刨木
鮑	pau55	鲍 鲍鱼
鉋	pʰau21	刨 刨子，瓜刨
茅	mau21	茅 茅草
貓	miau55	猫 花猫
卯	mau13	卯 子丑寅卯
貌	mau21	貌 礼貌
鬧	nau21	闹 热闹
罩	tʃau33	罩 灯罩
抓	tʃa55	抓 抓牌
爪	tʃau35	爪 脚爪
找	tʃau35	找 找东西
抄	tʃʰau55	抄 抄书
鈔	tʃʰau55	钞 钞票
炒	tʃʰau35	炒 炒股
吵	tʃʰau35	吵 吵架
巢	tʃʰau21	巢 雀巢
稍	ʃau35	稍 稍等
潲	ʃau33	潲 猪食
哨	ʃau33	哨 口哨
交	kau55	交 交通
郊	kau55	郊 郊区
膠	kau55	胶 胶水
敎	kau33	教 教书
絞	kau35	绞 绞毛巾
狡	kau35	狡 狡猾
鉸	kau33	铰 铰剪
攪	kau35	搅 搅拌
搞	kau35	搞 搞好
敎	kau33	教 教育
校	kau33	校 上校
較	kau33	较 比较
酵	hau55	酵 发酵
窖	kau33	窖 地窖
覺	kau33	觉 睡觉
敲	hau55	敲 敲门
巧	hau35	巧 碰巧
咬	ŋau13	咬 咬人
哮	hau55	哮 哮喘
孝	hau33	孝 孝顺
淆	ŋau13	淆 混淆
效	hau21	效 效果
校	kau33	校 校对
校	hau21	校 学校
坳	au33	坳 山坳
膘	piu55	膘 肥膘
標	piu55	标 标志
表	piu35	表 表示
錶	piu55	表 手表
飄	pʰiu55	飘 飘扬
漂	pʰiu33	漂 漂白
票	pʰiu33	票 车票
漂	pʰiu55	漂 漂亮
嫖	pʰiu21	嫖 嫖妓
苗	miu21	苗 火苗
描	miu21	描 描写
貓	miau55	猫 猫咪
藐	miu13	藐 藐视
渺	miu13	渺 渺小
秒	miu13	秒 一分一秒
廟	miu21	庙 庙会
妙	miu13	妙 妙计；巧妙
燎	liu21	燎 火烧火燎
燎	liu21	燎 燎原
療	liu21	疗 治疗
焦	tʃiu55	焦 焦作
蕉	tʃiu55	蕉 香蕉
椒	tʃiu55	椒 辣椒
剿	tʃiu35	剿 围剿
鍬	tʃʰɐu55	锹 铁锹
悄	tʃʰiu33	悄 静悄悄
俏	tʃʰiu33	俏 娇俏
樵	tʃiu55	樵 打樵，樵夫
消	ɬiu55	消 消化
宵	ɬiu55	宵 良宵
霄	ɬiu55	霄 云霄
硝	ɬiu55	硝 硝酸
銷	ɬiu55	销 供销社
小	ɬiu35	小 大小
笑	ɬiu33	笑 笑话
鞘	ɬiu55	鞘 刀鞘
肖	tʃʰiu55	肖 生肖
朝	tʃiu55	朝 今朝
超	tʃʰiu55	超 超过
朝	tʃʰiu21	朝 朝代
潮	tʃʰiu21	潮 潮水
趙	tʃiu21	赵 赵国；姓
兆	tʃiu21	兆 人名用字；预兆
召	tʃiu21	召 号召
昭	tʃiu21	昭 王昭君
招	tʃiu55	招 招手
沼	ʃiu21	沼 沼气
照	tʃiu33	照 照明
詔	tʃiu21	诏 诏书
燒	ʃiu55	烧 发烧
少	ʃiu35	少 多少
少	ʃiu33	少 少年，少爷
韶	ʃiu21	韶 韶关
紹	ʃiu21	绍 介绍
邵	ʃiu21	邵 姓
饒	ȵiu13	饶 求饶
擾	ȵiu13	扰 打扰
繞	ȵiu13	绕 绕线团
繞	ȵiu13	绕 围绕
驕	kiu55	骄 骄傲
嬌	kiu55	娇 撒娇
矯	kiu35	矫 矫正
喬	kʰiu21	乔 姓
僑	kʰiu21	侨 华侨
橋	kʰiu21	桥 桥梁
蕎	kʰiu21	荞 荞麦
轎	kiu21	轿 抬轿
囂	hiu55	嚣 嚣张
妖	iu55	妖 妖怪
邀	iu55	邀 邀请
腰	iu55	腰 腰疼
要	iu55	要 要求
要	iu33	要 重要
搖	iu21	摇 摇篮
謠	iu21	谣 民谣
窑	iu21	窑 官窑
姚	iu21	姚 姓
舀	iu35	舀 舀水
耀	iu21	耀 照耀
鷂	iu21	鹞 纸鹞
刁	tiu55	刁 嘴刁
貂	tiu55	貂 貂皮
雕	tiu55	雕 雕塑；座山雕
鳥	niu13	鸟 小鸟
釣	tiu33	钓 钓鱼
吊	tiu33	吊 上吊
挑	tʰiu55	挑 挑选
跳	tʰiu33	跳 跳高，跳起来
糶	tʰiu33	粜 粜米（卖米）
條	tʰiu21	条 条件
調	tʰiu21	调 调和
掉	tiu21	掉 走掉
調	tiu21	调 调动
調	tiu21	调 音调，高调
尿	niau21	尿 撒尿
聊	liu21	聊 聊天
遼	liu21	辽 辽宁
撩	liu21	撩 撩起来
寥	liu21	寥 寥寥无几
寮	liu21	寮 竹寮，茶寮
了	liu35	了 了结
瞭	liu21	瞭 瞭望
料	liu21	料 肥料
蕭	ɬiu55	萧 姓
簫	ɬiu55	箫 吹箫
澆	hiu55	浇 浇花
繳	kiu35	缴 上缴
僥	hiu55	侥 侥幸
叫	kiu33	叫 大叫
竅	kʰiau33	窍 窍门
堯	hiu35	尧 尧舜禹
曉	hiu35	晓 晓得
杳	miu35	杳 杳无音讯
剖	pʰɐu13	剖 解剖
某	mɐu21	某 某人
畝	mɐu13	亩 一亩田
牡	mɐu13	牡 牡丹
母	mu13	母 母亲
拇	mu13	拇 拇指
戊	mu13	戊 戊戌变法
茂	mau21	茂 茂盛
貿	mau21	贸 外贸
兜	tɐu55	兜 兜风
斗	tɐu35	斗 十升为斗
抖	tɐu35	抖 发抖
陡	tɐu35	陡 陡峭
鬥	tɐu33	斗 斗争
偸	tʰɐu55	偷 偷东西
㪗	tʰɐu35	敨 敨开，敨气
透	tʰɐu33	透 透明
頭	tʰɐu21	头 头发
投	tʰɐu21	投 投降
豆	tɐu21	豆 豆芽
逗	tɐu21	逗 逗号
痘	tɐu21	痘 水痘
樓	lɐu21	楼 上楼
簍	lɐu21	篓 竹篓
漏	lɐu33	漏 漏雨
陋	lɐu33	陋 简陋
走	tʃɐu35	走 行走
奏	tʃɐu33	奏 节奏
湊	tʃʰɐu33	凑 凑数
嗽	ɬɐu33	嗽 咳嗽
勾	ŋɐu55	勾 勾当
鉤	ŋɐu55	钩 鱼钩
溝	ŋɐu55	沟 沟通
狗	kɐu35	狗 小狗
苟	kɐu35	苟 苟且偷生
垢	kʰɐu33	垢 污垢
够	kɐu33	够 足够
構	kɐu33	构 结构
購	kɐu33	购 购买
勾	ŋɐu55	勾 勾引
摳	ŋɐu55	抠 抠出来
口	hɐu35	口 门口
叩	kʰɐu33	叩 叩头
扣	kʰɐu33	扣 扣钱
寇	kʰɐu33	寇 倭寇
藕	ŋɐu13	藕 莲藕
偶	ŋɐu13	偶 偶然
偶	ŋɐu13	偶 配偶
侯	hɐu21	侯 诸侯
喉	hɐu21	喉 喉咙
猴	hɐu21	猴 猴子
後	hɐu21	后 后来
厚	hɐu13	厚 忠厚
后	hɐu21	后 皇后
候	hɐu21	候 等候
歐	ɐu55	欧 欧洲
嘔	ɐu35	呕 呕吐
毆	ɐu55	殴 殴打
漚	ɐu33	沤 久浸水中（沤肥）
慪	ɐu33	怄 怄气
否	fɐu35	否 否定
富	fu33	富 富贵
副	fu33	副 正副（副省长）
浮	fɐu21	浮 浮动；轻浮
婦	fu13	妇 妇女
負	fu21	负 负担
復	fut055	复 复兴
謀	mɐu21	谋 阴谋
矛	mau21	矛 矛盾
紐	nɐu13	纽 纽扣
扭	nɐu13	扭 扭动
流	lɐu21	流 流动
劉	lɐu21	刘 姓
留	lɐu21	留 留下
榴	lɐu21	榴 石榴
硫	lɐu21	硫 硫磺
琉	lɐu21	琉 琉璃
柳	lɐu13	柳 柳树
溜	lɐu21	溜 溜走
餾	lɐu21	馏 蒸馏水
廖	liu21	廖 姓
揪	tʃʰɐu55	揪 揪头发
酒	tʃɐu35	酒 酒精
秋	tʃʰɐu55	秋 秋千
秋	tʃʰɐu55	秋 秋天
鰍	nɐu55	鳅 泥鳅
就	tʃɐu21	就 成就
修	ɬɐu55	修 修理
羞	ɬɐu55	羞 害羞
秀	ɬɐu33	秀 清秀
繡	ɬɐu33	绣 绣花
宿	ɬoʔ055	宿 宿舍
銹	ɬɐu33	锈 生锈
囚	tʃʰɐu21	囚 囚犯
袖	tʃɐu21	袖 领袖
晝	tʃɐu33	昼 日昼
抽	tʃʰɐu55	抽 抽出
丑	tʃʰɐu35	丑 子丑寅卯
綢	tʃʰɐu21	绸 丝绸
稠	tʃʰɐu21	稠 稠密
籌	tʃʰɐu21	筹 筹备
宙	tʃɐu21	宙 宇宙
鄒	tʃau55	邹 姓
皺	tʃɐu33	皱 皱纹
愁	tʃʰɐu21	愁 发愁
驟	tʃau33	骤 步骤；暴风骤雨
搜	ɬɐu13	搜 搜查，搜身
蒐	ʃɐu55	搜 搜集
瘦	ʃɐu33	瘦 瘦小
漱	ɬɐu33	漱 漱口
周	tʃɐu55	周 姓；周围
舟	tʃɐu55	舟 舟山
州	tʃɐu55	州 杭州
洲	tʃɐu55	洲 亚洲
咒	tʃɐu33	咒 咒人
醜	tʃʰɐu35	丑 丑陋
臭	tʃʰɐu33	臭 香臭
收	ʃɐu55	收 秋收，收集
手	ʃɐu35	手 手段
首	ʃɐu35	首 首都
守	ʃɐu35	守 保守
獸	tʃʰɐu33	兽 野兽
仇	tʃʰɐu21	仇 报仇
酬	tʃʰɐu21	酬 报酬
受	ʃɐu21	受 接受
壽	ʃɐu21	寿 寿星
授	ʃɐu21	授 教授
售	tʃʰɐu21	售 出售
柔	iɐu21	柔 温柔
揉	iɐu21	揉 揉眼睛，揉面团
鳩	kɐu55	鸠 斑鸠
鬮	kɐu55	阄 抓阄
糾	tɐu35	纠 纠缠
九	kɐu35	九 第九
久	kɐu35	久 长久
韭	kɐu35	韭 韭菜
灸	kɐu33	灸 针灸
救	kɐu33	救 救命
究	kɐu33	究 研究
丘	hɐu55	丘 姓；山丘
求	kʰɐu21	求 要求
球	kʰɐu21	球 地球
臼	kʰɐu33	臼 脱臼
舅	kʰɐu35	舅 舅舅，舅父
咎	kɐu33	咎 咎由自取
舊	kɐu21	旧 新旧
柩	kɐu33	柩 灵柩
牛	ŋɐu21	牛 吹牛
休	hɐu55	休 休息
朽	ɐu35	朽 腐朽
嗅	tʃʰɐu33	嗅 嗅觉
憂	iɐu55	忧 担忧
優	iɐu55	优 优秀
尤	iɐu21	尤 尤其
郵	iɐu21	邮 邮票
有	iɐu13	有 有无
友	iɐu13	友 朋友
又	iɐu21	又 又一次
右	iɐu21	右 左右
佑	iɐu21	佑 保佑
由	iɐu21	由 理由
油	iɐu21	油 花生油
游	iɐu21	游 旅游
猶	iɐu21	犹 犹豫
悠	iɐu55	悠 悠闲
酉	iɐu13	酉 地支第十
誘	iɐu13	诱 引诱
柚	iɐu13	柚 柚子
釉	iɐu21	釉 釉彩
彪	piu55	彪 林彪
謬	mau21	谬 谬论
丟	tiu55	丢 丢失
糾	tɐu35	纠 纠正
幽	iɐu55	幽 幽默
幼	iɐu33	幼 幼稚
耽	tam55	耽 耽误
答	tap033	答 回答
搭	tap033	搭 搭车，衣服搭在肩上
貪	tʰam55	贪 贪心
探	tʰam33	探 探路
踏	tap022	踏 脚踏
拓	tʰɔk033	拓 拓本；开拓
潭	tʰam21	潭 湘潭
譚	tʰam21	谭 姓
沓	tap033	沓 一沓纸
南	nam21	南 南方
男	nam21	男 男人
納	nap022	纳 出纳
拉	lai55	拉 拖拉
簪	tʃɐm55	簪 发簪
參	tʃʰam55	参 参加
慘	tʃʰam35	惨 悲惨
蠶	tʃʰam21	蚕 蚕丝
雜	tʃap022	杂 复杂
感	kam35	感 感谢
合	hɐp022	合 合作
蛤	kap033	蛤 蛤蜊，花蛤
鴿	kap033	鸽 鸽子
堪	hɐm55	堪 难堪
坎	hɐm33	坎 坎坷；坎头
砍	hɐm35	砍 砍柴
勘	hɐm55	勘 勘探
喝	hɔt033	喝 喝彩
含	hɐm21	含 包含
函	hɐm21	函 信函
撼	ham21	撼 震撼
憾	hɐm21	憾 遗憾
合	hɐp022	合 十合一升
盒	hɐp022	盒 盒子
庵	ɐm55	庵 尼姑庵
揞	ɐm35	揞 揞住
暗	ɐm33	暗 黑暗
擔	tam55	担 担任（动）
膽	tam35	胆 胆小
擔	tam33	担 挑担（名）
毯	tʰam35	毯 毛毯
塔	tʰap033	塔 一座塔
榻	tʰaʔ033	榻 床榻
遢	tʰap033	遢 邋遢
塌	tʰap033	塌 倒塌
談	tʰam21	谈 谈话
痰	tʰam21	痰 吐痰
淡	tʰam13	淡 咸淡；浓淡
藍	lam21	蓝 蓝色
籃	lam21	篮 篮子
覽	lam35	览 阅览
攬	lam35	揽 包揽
欖	lam35	榄 橄榄
濫	lam21	滥 泛滥
纜	lam21	缆 缆绳，缆车
臘	lap022	腊 腊肉
蠟	lap022	蜡 蜡烛
慚	tʃʰam21	惭 惭愧
暫	tʃim21	暂 暂时
三	ɬam55	三 第三
甘	kam55	甘 甘蔗
柑	kam55	柑 芦柑
敢	kam35	敢 勇敢
橄	kam35	橄 橄榄
喊	ham33	喊 叫喊
站	tʃam21	站 站立
劄	tʃat033	扎 针扎
賺	tʃan21	赚 赚钱
站	tʃam21	站 车站
斬	tʃam35	斩 刀斩
蘸	nam13	蘸 蘸酱油
眨	tʃam35	眨 眨眼
插	tʃʰap033	插 插秧
饞	tʃʰam21	馋 嘴馋
讒	tʃʰam21	谗 谗言
閘	tʃap022	闸 闸门
煠	ʃap022	炸 把食物放入沸水或沸油里弄熟
杉	tʃʰam13	杉 杉树
尷	kam33	尴 尴尬
減	kam35	减 加减
鹼	kan35	碱 发酵用
夾	kiap022	夹 夹子；夹东西
裌	kiap022	夹 夹衣，夹袄
恰	tʃap033	恰 恰当
掐	tʃʰa55	掐 掐虱子，掐脖子，用手指掐
咸	ham21	咸 咸丰
鹹	ham21	咸 咸淡
陷	hɐm21	陷 陷井
狹	kiap033	狭 狭窄
峽	hip022	峡 三峡
洽	hɐp055	洽 洽谈
衫	ʃam55	衫 衬衫
監	kam55	监 监视，监牢
鑒	kam33	鉴 鉴定
監	kam33	监 国子监；太监
甲	kap033	甲 甲乙丙丁
胛	kap033	胛 肩胛
嵌	hɐm33	嵌 镶嵌
巖	ŋam21	岩 岩石，石灰岩
銜	hɐm21	衔 军衔
艦	lam21	舰 军舰
匣	hɐp022	匣 匣子
鴨	ap033	鸭 鸭子
押	aʔ033	押 押送
壓	at033	压 压力
貶	pin35	贬 贬值
黏	nim55	黏 黏米，黏合剂
聶	nip055	聂 姓
鑷	nip033	镊 镊子
廉	lim21	廉 廉洁
鐮	lim21	镰 镰刀
簾	lim21	帘 窗帘
斂	lim13	敛 收敛
殮	lim13	殓 殡殓
獵	lip022	猎 打猎
尖	tʃim55	尖 尖刀
殲	tʃʰim55	歼 歼灭
接	tʃip033	接 接待
籤	tʃʰim55	签 牙签
簽	tʃʰim55	签 签名
妾	tʃʰip033	妾 妻妾
潛	tʃʰim13	潜 潜水
漸	tʃim21	渐 逐渐
捷	tʃip033	捷 捷报
沾	tʃim55	沾 沾湿
粘	tʃim55	粘 粘贴
瞻	tʃim55	瞻 瞻仰
占	tʃim55	占 占卜
佔	tʃim33	占 占有，占地方
摺	tʃit033	折 折被子，折纸
陝	ʃim35	陕 陕西
閃	ʃim35	闪 闪电
攝	nip033	摄 摄影
涉	ʃip033	涉 干涉
染	nim13	染 污染
檢	kim35	检 检查
臉	nim13	脸 脸色
鉗	kʰiam21	钳 钳子
儉	kim21	俭 节俭
驗	nim21	验 试验
險	him35	险 危险
淹	im35	淹 淹没
閹	im55	阉 阉割
掩	im35	掩 掩护
厭	im33	厌 讨厌
炎	im21	炎 炎热
鹽	im21	盐 食盐(名）
閻	im21	阎 阎王
檐	iɐm21	檐 屋檐
艷	im21	艳 鲜艳
焰	im21	焰 火焰
鹽	im21	盐 腌制（动）
葉	ip022	叶 树叶
頁	ip022	页 一页
劍	kim33	剑 宝剑
劫	kip033	劫 抢劫
欠	him33	欠 欠债
嚴	ȵim21	严 严格
業	ȵip033	业 事业
脅	hip022	胁 威胁
腌	ip055	腌 腌制
掂	tim21	掂 掂分量；搞掂
點	tim35	点 点头
店	tim33	店 商店
踮	neŋ33	踮 踮脚尖
跌	tit033	跌 跌打损伤
添	tʰim55	添 添加
舔	liam13	舔 以舌取物
帖	tʰip033	帖 请帖
貼	tʰip033	贴 张贴
甜	tʰim21	甜 甜蜜
疊	tip022	叠 折叠
碟	tip022	碟 碟子
牒	tip022	牒 通牒
蝶	tip022	蝶 蝴蝶
諜	tip022	谍 间谍
拈	nim55	拈 拈花惹草
念	nim21	念 想念
兼	kim55	兼 兼职
挾	kiap022	挟 挟菜
謙	him55	谦 谦虚
歉	him21	歉 道歉
嫌	hin21	嫌 嫌弃
協	hip022	协 协作
俠	hip022	俠 侠义，大侠
法	fat033	法 办法
泛	fan33	泛 广泛
凡	fan21	凡 凡是
帆	fan21	帆 船帆
范	fan21	范 姓
範	fan21	范 规范
犯	fan21	犯 犯法
乏	fɐt022	乏 乏力
稟	pɐn35	禀 禀报
品	pʰɐn35	品 品德
賃	ȵiɐm21	赁 租赁
林	lɐm21	林 树林
淋	lɐm21	淋 淋雨
臨	lɐm21	临 临时
立	lɐp022	立 立正
笠	lɐp055	笠 斗笠
粒	nɐp055	粒 颗粒
浸	tʃɐm33	浸 浸水
侵	tʃʰɐm55	侵 侵略
寢	tʃɐm35	寝 寝室
集	tʃɐp022	集 集体
輯	tʃʰɐp055	辑 编辑
心	ɬɐm55	心 心思
尋	tʃʰɐm21	寻 寻找
習	tʃap022	习 学习
襲	tʃap022	袭 袭击
