#漢字	音標	解釋
多	ɗo55	多 多少
磁	tʃʰi31	磁 磁铁
字	tʃi31	字 文字
司	ʃi55	司 公司
絲	ʃi55	丝 丝绸
思	ʃi55	思 思念
伺	ʃi55	伺 伺机应变
思	ɬei55	思 意思
辭	tʃʰi31	辞 告辞
詞	tʃʰi31	词 歌词
祠	tʃʰi31	祠 祠堂
似	tʃʰi23	似 相似
祀	kei23	祀 祭祀
巳	ji23	巳 地支第六
寺	tʃi31	寺 寺庙
飼	tʃʰi31	饲 饲养
置	tʃi33	置 布置
癡	tʃi55	痴 痴呆
恥	tʃʰi35	耻 耻辱
持	tʃʰi31	持 坚持
痔	tʃi31	痔 痔疮
治	tʃi31	治 治安
廁	tʃʰi33	厕 厕所
士	ʃi31	士 士兵
仕	ʃi31	仕 仕途
柿	ʃi23	柿 柿子
事	ʃi31	事 事情
使	ʃɐi35	使 大使馆
使	ʃɐi35	使 使用
史	ʃi35	史 历史
駛	ʃɐi35	驶 驾驶
之	tʃi55	之 之前
芝	tʃi55	芝 灵芝
止	tʃi23	止 停止
趾	tʃi35	趾 脚趾
址	tʃi35	址 地址
志	tʃi33	志 志气
誌	tʃi33	志 标志
痣	tʃi31	痣 与胎记不同
齒	tʃʰi35	齿 牙齿
詩	ʃi55	诗 诗人
始	tʃʰi35	始 开始
試	ʃi33	试 考试
時	ʃi31	时 时间
市	ʃi23	市 市场
恃	tʃʰi31	恃 有恃无恐，自恃
侍	ʃi31	侍 服侍
而	ji31	而 而且
耳	ji23	耳 耳朵
基	kei55	基 基本
箕	kei55	箕 粪箕
己	kei23	己 自己
紀	kei23	纪 纪律
紀	kei23	纪 纪念
記	kei33	记 记号
欺	hei55	欺 欺负
起	hei35	起 起床
杞	kei35	杞 枸杞
其	kʰei31	其 其他
棋	kʰei31	棋 下棋
期	kʰei31	期 日期
旗	kʰei31	旗 红旗
忌	kei31	忌 禁忌
疑	ji31	疑 怀疑
嬉	hei55	嬉 嬉戏
煕	hei55	熙 康熙
喜	hei35	喜 喜欢
醫	ji55	医 医生
意	ji33	意 大意
已	ji23	已 已经
以	ji23	以 可以
異	ji31	异 异同
幾	kei55	几 几乎
機	kei55	机 机器
譏	kei55	讥 讥笑
饑	kei55	饥 饥荒
幾	kei23	几 几个
既	kei33	既 既然
豈	hei23	岂 岂有此理
氣	hei33	气 空气
汽	hei33	汽 汽车
祈	kʰei31	祈 祈祷
毅	ŋɐi31	毅 毅力
希	hei55	希 希望
稀	hei55	稀 稀有
衣	ji55	衣 衣服
依	ji55	依 依靠
累	lu23	累 累积
累	lu23	累 连累
嘴	tʃu23	嘴 嘴巴
髓	tʃʰu31	髓 骨髓
隨	tʃʰu31	隨 随便
吹	tʃʰu55	吹 吹牛
炊	tʃʰu55	炊 炊烟
垂	ʃu31	垂 下垂
睡	ʃu31	睡 午睡
瑞	ɬu31	瑞 瑞雪
蕊	ȵu23	蕊 花蕊
規	kwʰɐi55	规 规矩
詭	kwɐi23	诡 诡计
虧	kwʰɐi55	亏 吃亏
跪	kwɐi31	跪 下跪
危	ŋɐi31	危 危险
僞	ŋɐi31	伪 虚伪
毀	vɐi23	毁 毁灭
萎	vɐi23	萎 枯萎
委	vɐi23	委 委托
爲	vɐi31	为 为什么
爲	vɐi31	为 行为
壘	lu23	垒 堡垒
類	lu31	类 分类
淚	lu31	泪 眼泪
醉	tʃu33	醉 喝醉
翠	tʃʰu33	翠 翡翠
雖	ɬu55	虽 虽然
遂	ɬu31	遂 未遂
隧	ʃu35	隧 隧道
穗	ʃu31	穗 谷穗
追	tʃu55	追 追赶
槌	tʃʰu31	槌 棒槌
錘	tʃʰu31	锤 铁锤
墜	tʃu31	坠 下坠
衰	ʃu55	衰 衰老
摔	ɬɐʔ055	摔 摔跤
帥	ʃu33	帅 元帅
錐	tʃu55	锥 圆锥
水	ʃu35	水 水果
誰	ʃu31	谁 谁人
龜	kwɐi55	龟 乌龟
軌	kwɐi23	轨 铁轨
癸	kwʰɐi31	癸 天干第十
愧	kwʰɐi33	愧 惭愧
季	kwɐi33	季 四季
逵	kwʰɐi31	逵 李逵
葵	kwʰɐi31	葵 向日葵
櫃	kwɐi31	柜 柜台
位	vɐi31	位 地位
維	vɐi31	维 维持
惟	vɐi31	惟 惟一
遺	vɐi31	遗 遗失
唯	vɐi31	唯 唯有
非	fei55	非 非常
飛	fei55	飞 飞机
匪	fei23	匪 土匪
沸	fɐʔ055	沸 沸腾
妃	fei55	妃 贵妃
費	fɐi33	费 浪费
肥	fei31	肥 肥料
翡	fei23	翡 翡翠
微	mei31	微 细微
尾	mei23	尾 尾巴
未	mei31	未 未来
味	mei31	味 味道
歸	kwɐi55	归 回归
鬼	kwɐi35	鬼 鬼神
貴	kwɐi33	贵 贵客
魏	ŋɐi31	魏 魏国；姓
揮	fɐi55	挥 指挥
輝	fɐi55	辉 光辉
徽	fɐi55	徽 国徽
諱	vɐi33	讳 忌讳
威	vɐi55	威 威风
畏	vɐi33	畏 畏罪
慰	vɐi33	慰 安慰
違	vɐi31	违 违背
圍	vɐi31	围 包围
偉	vɐi23	伟 伟大
葦	vɐi31	苇 芦苇
緯	vɐi31	纬 经纬
胃	vɐi31	胃 肠胃
謂	vɐi33	谓 所谓
蝟	vɐi31	猬 刺猬
匯	vu31	汇 汇报
保	ɓou35	保 保护
堡	ɓou35	堡 碉堡
寶	ɓou35	宝 宝贝
報	ɓou33	报 报告；日报
袍	pʰou31	袍 长袍
抱	pʰou23	抱 拥抱
暴	ɓou31	暴 暴露
菢	ɓou31	菢 菢小鸡
毛	mou31	毛 毛笔
冒	mou31	冒 冒充
帽	mou31	帽 草帽
刀	ɗou55	刀 菜刀
禱	tʰou31	祷 祈祷
島	ɗou35	岛 海岛
搗	ɗou35	捣 捣乱
倒	ɗou35	倒 打倒
到	ɗou33	到 来到
倒	ɗou35	倒 倒水
滔	tʰou55	滔 滔滔不绝
討	tʰou35	讨 讨好
套	tʰou33	套 配套
桃	tʰou31	桃 桃花
逃	tʰou31	逃 逃难
淘	tʰou31	淘 淘米
陶	tʰou31	陶 陶瓷
萄	tʰou31	萄 葡萄
道	ɗou31	道 道理
稻	ɗou31	稻 水稻
盜	ɗou31	盗 强盗
導	ɗou31	导 领导
腦	nou23	脑 大脑
勞	lou31	劳 劳动
撈	lau55	捞 打捞
撈	lou55	捞 捞钱，捞面
牢	lou31	牢 坐牢
老	lou23	老 老实
澇	lou31	涝 洪涝
遭	tʃou55	遭 遭殃
糟	tʃou55	糟 糟糕
早	tʃou35	早 早上
棗	tʃou35	枣 红枣
澡	tʃʰou33	澡 洗澡
躁	tʃʰou33	躁 暴躁
竈	tʃou33	灶 灶神
操	tʃʰou55	操 操作
草	tʃʰou23	草 青草
糙	tʃou31	糙 粗糙，糙米
曹	tʃʰou31	曹 阴曹
槽	tʃʰou31	槽 猪槽
皂	tʃou31	皂 肥皂；皂角
造	tʃou31	造 制造
騷	ɬou55	骚 风骚
臊	ɬou55	臊 羊臊气
掃	ɬou33	扫 扫把（名）
嫂	ɬou35	嫂 大嫂
掃	ɬou33	扫 扫地（动）
髙	kou55	高 跳高
膏	kou55	膏 牙膏；膏药
篙	kou23	篙 竹篙
羔	kou55	羔 羊羔
糕	kou55	糕 蛋糕
稿	kou23	稿 草稿
吿	kou33	告 报告
考	hau23	考 考试
烤	hau55	烤 烧烤
靠	kʰau33	靠 可靠
熬	ŋou31	熬 难熬
傲	ŋou31	傲 骄傲
蒿	hou55	蒿 蓬蒿
好	hou35	好 好坏
好	hou33	好 爱好
耗	hou33	耗 消耗
毫	hou31	毫 毫厘
壕	hou31	壕 战壕
豪	hou31	豪 豪华
號	hou31	号 号叫，呼号（动）
浩	hou31	浩 浩荡
號	hou31	号 号码（名）
襖	ʔou33	襖 棉襖
懊	ʔou33	懊 懊恼
奧	ʔou33	奥 奥妙
澳	ʔou33	澳 澳门
包	ɓau55	包 钱包
胞	ɓau55	胞 同胞
飽	ɓau35	饱 吃饱
豹	ɓau33	豹 一种动物
爆	ɓou31	爆 爆炸
泡	pʰau55	泡 泡茶
拋	pʰau55	抛 抛弃
炮	pʰau33	炮 枪炮
泡	pʰau55	泡 水泡，泡沫
跑	pʰau35	跑 跑步
刨	pʰau31	刨 刨地，刨木
鮑	ɓau55	鲍 鲍鱼
鉋	pʰau31	刨 刨子，瓜刨
茅	mau31	茅 茅草
貓	miau55	猫 花猫
錨	nau31	锚 抛锚
卯	mau23	卯 子丑寅卯
貌	mau31	貌 礼貌
鬧	nau31	闹 热闹
罩	tʃau33	罩 灯罩
抓	tʃa55	抓 抓牌
爪	tʃau23	爪 脚爪
找	tʃau23	找 找东西
抄	tʃʰau55	抄 抄书
鈔	tʃʰau55	钞 钞票
炒	tʃʰau35	炒 炒股
吵	tʃʰau35	吵 吵架
巢	tʃʰau31	巢 雀巢
稍	ʃau35	稍 稍等
潲	ʃau33	潲 猪食
哨	ʃau33	哨 口哨
交	kau55	交 交通
郊	kau55	郊 郊区
膠	kau55	胶 胶水
敎	kau33	教 教书
絞	kau35	绞 绞毛巾
狡	kau35	狡 狡猾
鉸	kau33	铰 铰剪
攪	kau35	搅 搅拌
搞	kau35	搞 搞好
敎	kau33	教 教育
校	kau33	校 上校
較	kau33	较 比较
酵	hau55	酵 发酵
覺	kau33	觉 睡觉
敲	hau55	敲 敲门
巧	hau35	巧 碰巧
咬	ŋau23	咬 咬人
哮	hau55	哮 哮喘
孝	hau33	孝 孝顺
淆	ŋau31	淆 混淆
效	hau31	效 效果
校	kau55	校 校对
校	hau31	校 学校
坳	ŋau31	坳 山坳
膘	ɓiu55	膘 肥膘
標	ɓiu55	标 标志
表	ɓiu35	表 表示
錶	ɓiu55	表 手表
飄	pʰiu55	飘 飘扬
漂	pʰiu55	漂 漂白
票	pʰiu33	票 车票
漂	pʰiu55	漂 漂亮
嫖	pʰiu31	嫖 嫖妓
苗	miu31	苗 火苗
描	miu31	描 描写
貓	miau55	猫 猫咪
藐	miu35	藐 藐视
渺	miu35	渺 渺小
秒	miu35	秒 一分一秒
廟	miu31	庙 庙会
妙	miu31	妙 妙计
燎	liu31	燎 火烧火燎
燎	liu31	燎 燎原
療	liu31	疗 治疗
焦	tʃiu55	焦 焦作
蕉	tʃiu55	蕉 香蕉
椒	tʃiu55	椒 辣椒
剿	tʃiu35	剿 围剿
鍬	tʃʰɐu55	锹 铁锹
悄	tʃʰiu35	悄 静悄悄
瞧	tʃiu55	瞧 瞧一瞧
消	ɬiu55	消 消化
宵	ɬiu55	宵 良宵
霄	ɬiu55	霄 云霄
硝	ɬiu55	硝 硝酸
銷	ɬiu55	销 供销社
小	ɬiu35	小 大小
笑	ɬiu33	笑 笑话
肖	tʃʰiu33	肖 生肖
朝	tʃiu55	朝 今朝
超	tʃʰiu55	超 超过
朝	tʃʰiu31	朝 朝代
潮	tʃʰiu31	潮 潮水
趙	tʃiu31	赵 赵国；姓
兆	tʃiu31	兆 人名用字；预兆
召	tʃiu31	召 号召
昭	tʃʰiu55	昭 王昭君
招	tʃiu55	招 招手
沼	tʃiu31	沼 沼气
照	tʃiu33	照 照明
燒	ʃiu55	烧 发烧
少	ʃiu35	少 多少
少	ʃiu33	少 少年，少爷
韶	tʃiu31	韶 韶关
紹	ʃiu31	绍 介绍
邵	ʃiu31	邵 姓
饒	ju31	饶 求饶
擾	ȵiu35	扰 打扰
繞	liau35	绕 绕线团
繞	ȵiu35	绕 围绕
驕	kiu55	骄 骄傲
嬌	kiu55	娇 撒娇
喬	kʰiu31	乔 姓
僑	kʰiu31	侨 华侨
橋	kʰiu31	桥 桥梁
轎	kiu31	轿 抬轿
囂	hiu55	嚣 嚣张
妖	ju55	妖 妖怪
邀	ju55	邀 邀请
腰	ju55	腰 腰疼
要	ju55	要 要求
要	ju33	要 重要
搖	ju31	摇 摇篮
謠	ju31	谣 民谣
窑	ju31	窑 官窑
姚	ju31	姚 姓
耀	ju31	耀 照耀
鷂	ju35	鹞 纸鹞
刁	ɗiu55	刁 嘴刁
貂	ɗiu55	貂 貂皮
雕	ɗiu55	雕 雕塑；座山雕
鳥	niu23	鸟 小鸟
釣	ɗiu33	钓 钓鱼
吊	ɗiu33	吊 上吊
挑	tʰiu55	挑 挑选
跳	tʰiu33	跳 跳高，跳起来
條	tʰiu31	条 条件
調	ɗiu31	调 调和
掉	ɗiu31	掉 走掉
調	ɗiu31	调 调动
調	ɗiu31	调 音调，高调
尿	niu31	尿 撒尿
聊	liu31	聊 聊天
遼	liu31	辽 辽宁
撩	liu31	撩 撩起来
了	liu23	了 了结
瞭	liu31	瞭 瞭望
料	liu31	料 肥料
蕭	ʃiu55	萧 姓
簫	ʃiu55	箫 吹箫
澆	hiu55	浇 浇花
繳	kiu35	缴 上缴
僥	hiu55	侥 侥幸
叫	kiu33	叫 大叫
竅	kʰiu55	窍 窍门
曉	hiu35	晓 晓得
剖	pʰau23	剖 解剖
某	mɐu23	某 某人
畝	mau23	亩 一亩田
牡	mau31	牡 牡丹
母	mou23	母 母亲
拇	mou23	拇 拇指
茂	mɐu31	茂 茂盛
貿	mɐu31	贸 外贸
兜	ɗɐu55	兜 兜风
斗	tɐu35	斗 十升为斗
抖	ʃɐu35	抖 发抖
鬥	ɗɐu33	斗 斗争
偸	tʰɐu55	偷 偷东西
㪗	tʰɐu35	敨 敨开，敨气
透	tʰɐu33	透 透明
頭	tʰɐu31	头 头发
投	tʰɐu31	投 投降
豆	ɗɐu31	豆 豆芽
逗	ɗɐu31	逗 逗号
痘	ɗɐu31	痘 水痘
樓	lɐu31	楼 上楼
漏	lɐu31	漏 漏雨
陋	lɐu31	陋 简陋
走	tʃɐu23	走 行走
奏	tʃɐu33	奏 节奏
湊	tʃʰɐu31	凑 凑数
嗽	ɬɐu33	嗽 咳嗽
勾	kɐu55	勾 勾当
鉤	kɐu55	钩 鱼钩
溝	kɐu55	沟 沟通
狗	kɐu23	狗 小狗
苟	kɐu35	苟 苟且偷生
够	kɐu33	够 足够
構	kɐu33	构 结构
購	kɐu33	购 购买
勾	kɐu55	勾 勾引
摳	kʰɐu33	抠 抠出来
口	hɐu35	口 门口
叩	kʰɐu33	叩 叩头
扣	kʰɐu33	扣 扣钱
寇	kʰɐu33	寇 倭寇
藕	ŋɐu23	藕 莲藕
偶	ŋɐu23	偶 偶然
偶	ŋɐu23	偶 配偶
侯	hɐu31	侯 诸侯
喉	hɐu31	喉 喉咙
猴	hɐu31	猴 猴子
後	hɐu31	后 后来
厚	hɐu23	厚 忠厚
后	hɐu31	后 皇后
候	hɐu31	候 等候
歐	ʔɐu55	欧 欧洲
嘔	ʔɐu35	呕 呕吐
毆	ʔɐu35	殴 殴打
漚	ʔɐu33	沤 久浸水中（沤肥）
慪	ʔɐu33	怄 怄气
否	fɐu23	否 否定
富	fu33	富 富贵
副	fu33	副 正副（副省长）
浮	fɐu31	浮 浮动；轻浮
婦	fu23	妇 妇女
負	fu31	负 负担
復	fok055	复 复兴
謀	mɐu31	谋 阴谋
矛	mau31	矛 矛盾
紐	nɐu23	纽 纽扣
扭	nɐu23	扭 扭动
流	lɐu31	流 流动
劉	lɐu31	刘 姓
留	lɐu31	留 留下
榴	lɐu31	榴 石榴
硫	lɐu31	硫 硫磺
琉	lɐu31	琉 琉璃
柳	lɐu23	柳 柳树
溜	lɐu31	溜 溜走
餾	lɐu31	馏 蒸馏水
廖	liu31	廖 姓
酒	tʃɐu23	酒 酒精
秋	tʃʰɐu55	秋 秋千
秋	tʃʰɐu55	秋 秋天
鰍	tʃʰɐu55	鳅 泥鳅
就	tʃɐu31	就 成就
修	ʃɐu55	修 修理
羞	tʃʰɐu35	羞 害羞
秀	ʃɐu33	秀 清秀
繡	ʃɐu33	绣 绣花
宿	ɬok055	宿 宿舍
銹	ɬɐu33	锈 生锈
囚	tʃʰɐu31	囚 囚犯
袖	tʃɐu31	袖 领袖
肘	tʃɐu31	肘 手肘，肘子
晝	tʃɐu33	昼 日昼
抽	tʃʰɐu55	抽 抽出
丑	tʃʰɐu35	丑 子丑寅卯
綢	tʃʰɐu31	绸 丝绸
稠	tʃʰɐu31	稠 稠密
籌	tʃʰɐu31	筹 筹备
宙	tʃɐu31	宙 宇宙
鄒	tʃau55	邹 姓
皺	ȵɐu33	皱 皱纹
愁	ʃɐu31	愁 发愁
驟	tʃei31	骤 步骤；暴风骤雨
搜	ʃau35	搜 搜查，搜身
餿	ʃau55	馊 饭馊了
蒐	ʃau35	搜 搜集
瘦	ʃɐu33	瘦 瘦小
周	tʃɐu55	周 姓；周围
舟	tʃɐu55	舟 舟山
州	tʃɐu55	州 杭州
洲	tʃɐu55	洲 亚洲
咒	tʃɐu33	咒 咒人
醜	tʃʰɐu35	丑 丑陋
臭	tʃʰɐu33	臭 香臭
收	ʃɐu55	收 秋收，收集
手	ʃɐu35	手 手段
首	ʃɐu35	首 首都
守	ʃɐu35	守 保守
獸	ʃɐu33	兽 野兽
仇	ʃɐu31	仇 报仇
酬	tʃʰɐu31	酬 报酬
受	ʃɐu31	受 接受
壽	ʃɐu31	寿 寿星
授	ʃɐu31	授 教授
售	ʃɐu31	售 出售
柔	jɐu31	柔 温柔
鳩	kɐu55	鸠 斑鸠
鬮	kɐu55	阄 抓阄
糾	ɗɐu23	纠 纠缠
九	kɐu35	九 第九
久	kɐu35	久 长久
韭	kɐu35	韭 韭菜
灸	kɐu33	灸 针灸
救	kɐu33	救 救命
究	kɐu33	究 研究
丘	hɐu55	丘 姓；山丘
求	kʰɐu31	求 要求
球	kʰɐu31	球 地球
仇	ʃɐu31	仇 姓
臼	kau33	臼 脱臼
舅	kʰɐu23	舅 舅舅，舅父
舊	kau31	旧 新旧
牛	ŋɐu31	牛 吹牛
休	hɐu55	休 休息
朽	ʔau23	朽 腐朽
嗅	tʃʰɐu33	嗅 嗅觉
憂	jɐu55	忧 担忧
優	jɐu55	优 优秀
尤	jɐu31	尤 尤其
郵	jɐu31	邮 邮票
有	jɐu35	有 有无
友	jɐu23	友 朋友
又	jɐu31	又 又一次
右	jɐu31	右 左右
佑	jɐu31	佑 保佑
由	jɐu31	由 理由
油	jɐu31	油 花生油
游	jɐu31	游 旅游
猶	jɐu31	犹 犹豫
悠	jɐu55	悠 悠闲
酉	jɐu23	酉 地支第十
誘	jɐu31	诱 引诱
柚	jɐu31	柚 柚子
釉	jɐu31	釉 釉彩
彪	ɓiu55	彪 林彪
謬	mɐu31	谬 谬论
丟	ɗiu55	丢 丢失
糾	ɗɐu23	纠 纠正
幽	jɐu55	幽 幽默
幼	jɐu33	幼 幼稚
耽	ɗaŋ55	耽 耽误
答	ɗaʔ033	答 回答
搭	ɗaʔ033	搭 搭车，衣服搭在肩上
貪	tʰaŋ55	贪 贪心
探	tʰaŋ33	探 探路
踏	ɗaʔ031	踏 脚踏
潭	tʰaŋ31	潭 湘潭
譚	tʰaŋ31	谭 姓
沓	ɗaʔ031	沓 一沓纸
南	naŋ31	南 南方
男	naŋ31	男 男人
納	naʔ031	纳 出纳
拉	la55	拉 拖拉
參	tʃʰaŋ55	参 参加
慘	tʃʰaŋ23	惨 悲惨
蠶	tʃʰaŋ31	蚕 蚕丝
雜	tʃaʔ031	杂 复杂
感	koŋ35	感 感谢
合	hop033	合 合作
蛤	kaʔ033	蛤 蛤蜊，花蛤
鴿	kop033	鸽 鸽子
堪	hɐm55	堪 难堪
坎	hoŋ33	坎 坎坷；坎头
砍	hoŋ35	砍 砍柴
喝	hɔʔ033	喝 喝彩
含	hoŋ31	含 包含
憾	hɐm31	憾 遗憾
合	kop033	合 十合一升
盒	hop031	盒 盒子
庵	ʔɐm55	庵 尼姑庵
揞	ʔɐm35	揞 揞住
暗	ʔoŋ33	暗 黑暗
擔	ɗaŋ55	担 担任（动）
膽	ɗaŋ23	胆 胆小
擔	ɗaŋ33	担 挑担（名）
毯	tʰaŋ35	毯 毛毯
塔	tʰaʔ033	塔 一座塔
遢	tʰaʔ033	遢 邋遢
塌	tʰaʔ033	塌 倒塌
談	tʰaŋ31	谈 谈话
痰	tʰaŋ31	痰 吐痰
淡	tʰaŋ23	淡 咸淡；浓淡
藍	laŋ31	蓝 蓝色
籃	laŋ31	篮 篮子
覽	laŋ35	览 阅览
攬	laŋ35	揽 包揽
欖	laŋ35	榄 橄榄
濫	laŋ31	滥 泛滥
纜	laŋ31	缆 缆绳，缆车
臘	laʔ031	腊 腊肉
蠟	laʔ031	蜡 蜡烛
慚	tʃʰaŋ31	惭 惭愧
暫	tʃaŋ31	暂 暂时
三	ɬaŋ55	三 第三
甘	koŋ55	甘 甘蔗
柑	koŋ55	柑 芦柑
敢	koŋ23	敢 勇敢
橄	koŋ55	橄 橄榄
喊	haŋ33	喊 叫喊
站	tʃaŋ31	站 站立
劄	tʃaʔ033	扎 针扎
賺	tʃaŋ31	赚 赚钱
站	tʃaŋ31	站 车站
斬	tʃaŋ35	斩 刀斩
眨	tʃaŋ35	眨 眨眼
插	tʃʰaʔ033	插 插秧
閘	tʃaʔ031	闸 闸门
煠	ʃaʔ031	炸 把食物放入沸水或沸油里弄熟
杉	tʃʰaŋ35	杉 杉树
尷	kaŋ55	尴 尴尬
減	kaŋ35	减 加减
鹼	kaŋ35	碱 发酵用
夾	ki̯ɛʔ031	夹 夹子；夹东西
裌	ki̯ɛʔ031	夹 夹衣，夹袄
恰	tʃaʔ031	恰 恰当
咸	haŋ31	咸 咸丰
鹹	haŋ31	咸 咸淡
陷	hɐm31	陷 陷井
狹	ki̯ɛʔ031	狭 狭窄
峽	ki̯ɛʔ031	峡 三峡
衫	ʃaŋ55	衫 衬衫
監	kaŋ55	监 监视，监牢
鑒	kaŋ33	鉴 鉴定
監	kaŋ33	监 国子监；太监
甲	kaʔ033	甲 天干第一
胛	kaʔ033	胛 肩胛
巖	ŋaŋ31	岩 岩石，石灰岩
銜	haŋ31	衔 军衔
艦	laŋ31	舰 军舰
匣	hop031	匣 匣子
鴨	ʔap033	鸭 鸭子
押	kaʔ033	押 押送
壓	ʔaʔ033	压 压力
貶	ɓi̯ɛŋ35	贬 贬值
聶	ȵit031	聂 姓
廉	lin31	廉 廉洁
鐮	lin31	镰 镰刀
簾	lin31	帘 窗帘
斂	lin23	敛 收敛
殮	lin23	殓 殡殓
獵	lit031	猎 打猎
尖	tʃin55	尖 尖刀
殲	tʃʰin55	歼 歼灭
接	tʃit033	接 接待
籤	tʃʰin55	签 牙签
簽	tʃʰin55	签 签名
妾	tʰit033	妾 妻妾
潛	tʃʰin31	潜 潜水
漸	tʃin31	渐 逐渐
捷	tʃit031	捷 捷报
粘	nim55	粘 粘贴
占	tʃin55	占 占卜
佔	tʃin33	占 占有，占地方
摺	tʃit033	折 折被子，折纸
陝	ʃin35	陕 陕西
閃	ʃin35	闪 闪电
攝	nit033	摄 摄影
涉	ʃit031	涉 干涉
染	ȵim23	染 污染
檢	kim35	检 检查
臉	lim23	脸 脸色
鉗	kʰi̯ɛŋ31	钳 钳子
儉	ki̯ɛŋ31	俭 节俭
驗	ȵim31	验 试验
險	hin35	险 危险
淹	jin35	淹 淹没
閹	jim55	阉 阉割
掩	jim35	掩 掩护
厭	jim33	厌 讨厌
炎	jim31	炎 炎热
鹽	jim31	盐 食盐(名）
閻	ȵim31	阎 阎王
檐	jɐm31	檐 屋檐
艷	jim31	艳 鲜艳
焰	ȵin31	焰 火焰
葉	jit031	叶 树叶
頁	jit031	页 一页
劍	kin33	剑 宝剑
劫	kit031	劫 抢劫
欠	him33	欠 欠债
嚴	ȵim31	严 严格
業	ȵit031	业 事业
脅	hit031	胁 威胁
腌	jit033	腌 腌制
掂	ɗim33	掂 掂分量
點	ɗim35	点 点头
店	ɗim33	店 商店
踮	ȵaŋ33	踮 踮脚尖
跌	ɗit033	跌 跌打损伤
添	tʰim55	添 添加
舔	li̯ɛŋ23	舔 以舌取物
帖	tʰit033	帖 请帖
貼	tʰit033	贴 张贴
甜	tʰim31	甜 甜蜜
疊	ɗit031	叠 折叠
碟	ɗit031	碟 碟子
牒	ɗit031	牒 通牒
蝶	ɗit031	蝶 蝴蝶
諜	ɗit031	谍 间谍
拈	nim55	拈 拈花惹草
念	nim31	念 想念
兼	kim55	兼 兼职
挾	ki̯ɛʔ033	挟 挟菜
謙	him55	谦 谦虚
歉	hit033	歉 道歉
嫌	him31	嫌 嫌弃
協	hit031	协 协作
俠	hɐp031	俠 侠义，大侠
法	faʔ033	法 办法
泛	faŋ33	泛 广泛
凡	faŋ31	凡 凡是
帆	faŋ31	帆 船帆
范	faŋ31	范 姓
範	faŋ31	范 规范
犯	faŋ31	犯 犯法
乏	fɐʔ031	乏 乏力，缺乏
稟	ɓɐŋ35	禀 禀报
品	pʰɐŋ35	品 品德
賃	ȵɐm31	赁 租赁
林	lɐm31	林 树林
淋	lɐm31	淋 淋雨
臨	lɐm31	临 临时
立	lɐʔ031	立 立正
笠	lɐʔ031	笠 斗笠
粒	nap055	粒 颗粒
浸	tʃɐm33	浸 浸水
侵	tʃʰɐm55	侵 侵略
寢	tʃʰɐm35	寝 寝室
集	tʃaʔ031	集 集体
輯	tʃʰɐʔ055	辑 编辑
心	ɬɐm55	心 心思
尋	tʃʰɐm31	寻 寻找
習	tʃaʔ031	习 学习
襲	tʃaʔ031	袭 袭击
砧	tʃɐm55	砧 砧板
沉	tʃʰɐm31	沉 沉浮
蟄	tʃet031	蛰 惊蛰
岑	kʰɐm31	岑 姓
森	ʃɐm55	森 森林
參	tʃʰaŋ55	参 人参
澀	kip031	涩 羞涩；涩口
針	tʃɐm55	针 针对
斟	tʃɐm55	斟 斟酒
枕	tʃɐm35	枕 枕头（名）
枕	tʃɐm35	枕 枕枕头（动）
執	tʃɐʔ055	执 执行
汁	tʃɐʔ055	汁 果汁
深	ʃɐm55	深 深入
沈	ʃɐm35	沈 沈阳
嬸	ʃɐm35	婶 叔之妻
審	ʃɐm35	审 审问
濕	ʃɐʔ055	湿 湿润
甚	ʃɐm31	甚 甚至
十	ʃɐʔ031	十 第十
拾	ʃɐʔ031	拾 拾金不昧
壬	jɐm31	壬 天干第九
任	ȵɐm31	任 姓
任	ȵɐm31	任 责任
入	ȵɐʔ031	入 进入
今	kɐm55	今 今天
金	kɐm55	金 金银
禁	kɐm33	禁 禁不住
襟	kʰɐm55	襟 连襟
錦	kɐm35	锦 锦绣
禁	kɐm33	禁 禁止
急	kap055	急 急忙
級	kʰap055	级 年级
給	kʰap055	给 供给，给予
欽	hɐm55	钦 钦差
撳	kɐm31	揿 手用力捏住，往下按
琴	kʰɐm31	琴 弹琴
禽	kʰɐm31	禽 家禽
擒	kʰɐm31	擒 擒拿
妗	kʰɐm23	妗 舅母
及	kɐp031	及 及时
吟	jɐm31	吟 吟诗
吸	kʰɐp055	吸 呼吸
音	jɐm55	音 音乐
陰	jɐm55	阴 阴天
飮	ȵɐm23	饮 米汤（名）
飮	ȵɐm23	饮 饮酒（动）
蔭	jɐm55	荫 屋子很荫
淫	jɐm31	淫 淫荡
單	ɗaŋ55	单 单独
丹	ɗaŋ55	丹 人丹
疸	tʰaŋ23	疸 黄疸
旦	ɗaŋ33	旦 元旦
灘	tʰaŋ55	滩 沙滩
攤	tʰaŋ55	摊 摊开
癱	tʰaŋ55	瘫 瘫痪
坦	tʰaŋ35	坦 坦白
嘆	tʰaŋ33	叹 叹气
炭	tʰaŋ33	炭 木炭
彈	tʰaŋ31	弹 弹琴
檀	tʰaŋ31	檀 檀香
壇	tʰaŋ31	坛 天坛
誕	taŋ33	诞 诞生
彈	taŋ31	弹 子弹
但	taŋ31	但 但是
蛋	taŋ31	蛋 鸡蛋
達	ɗaʔ031	达 达到
難	naŋ31	难 很难
難	naŋ31	难 患难
捺	naʔ033	捺 撇捺
蘭	laŋ31	兰 兰花
攔	laŋ31	拦 拦住
